pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct,file,method,tissue,trait,treatment
0,0.21163817027593,0,0.21163817027593,0,0.05,16,res.fixed.pcut_sum_T10_lowN_ts_LMAD.csv,res.fixed,LMAD,T10_lowN,lowN
0,0.395768548781017,0,0.395768548781017,0,0.05,11,res.fixed.pcut_sum_T10_lowN_ts_LMAN.csv,res.fixed,LMAN,T10_lowN,lowN
0,1.50732445821166,0,1.50732445821166,0,0.05,11,res.fixed.pcut_sum_T10_stdN_ts_GRoot.csv,res.fixed,GRoot,T10_stdN,stdN
0,2.44787273522219,0,2.44787273522219,0,0.05,51,res.fixed.pcut_sum_T10_stdN_ts_GShoot.csv,res.fixed,GShoot,T10_stdN,stdN
0,2.1240180017005,0,2.1240180017005,0,0.05,59,res.fixed.pcut_sum_T10_stdN_ts_Kern.csv,res.fixed,Kern,T10_stdN,stdN
0.17756567831532,2.12894537317572,0.378027629284209,1.65239895781846,1,0.05,15,res.fixed.pcut_sum_T10_stdN_ts_L3Base.csv,res.fixed,L3Base,T10_stdN,stdN
0,2.53201565093763,0,2.53201565093763,0,0.05,59,res.fixed.pcut_sum_T10_stdN_ts_L3Tip.csv,res.fixed,L3Tip,T10_stdN,stdN
0,1.88109446941675,0,1.88109446941675,0,0.05,54,res.fixed.pcut_sum_T10_stdN_ts_LMAD.csv,res.fixed,LMAD,T10_stdN,stdN
0,2.45994091379282,0,2.45994091379282,0,0.05,78,res.fixed.pcut_sum_T10_stdN_ts_LMAN.csv,res.fixed,LMAN,T10_stdN,stdN
0,0.147401643685963,0,0.147401643685963,0,0.05,52,res.fixed.pcut_sum_T100_lowN_ts_GRoot.csv,res.fixed,GRoot,T100_lowN,lowN
0,0.0449492460344671,0,0.0449492460344671,0,0.05,7,res.fixed.pcut_sum_T100_lowN_ts_GShoot.csv,res.fixed,GShoot,T100_lowN,lowN
0,0.0179059503446722,0,0.0179059503446722,0,0.05,8,res.fixed.pcut_sum_T100_lowN_ts_Kern.csv,res.fixed,Kern,T100_lowN,lowN
0.437974497136529,0.12590645687103,0.0551438171343314,0.0553851605570167,5,0.05,7,res.fixed.pcut_sum_T100_lowN_ts_L3Base.csv,res.fixed,L3Base,T100_lowN,lowN
0.111018908099752,0.169055462193896,0.0187683528210653,0.133583077417101,2,0.05,31,res.fixed.pcut_sum_T100_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T100_lowN,lowN
0,0.156584143274575,0,0.156584143274575,0,0.05,57,res.fixed.pcut_sum_T100_lowN_ts_LMAD.csv,res.fixed,LMAD,T100_lowN,lowN
0,0.117811754386823,0,0.117811754386823,0,0.05,20,res.fixed.pcut_sum_T100_lowN_ts_LMAN.csv,res.fixed,LMAN,T100_lowN,lowN
0,1.14168297910032,0,1.14168297910032,0,0.05,14,res.fixed.pcut_sum_T100_stdN_ts_GRoot.csv,res.fixed,GRoot,T100_stdN,stdN
0,0.853573398220703,0,0.853573398220703,0,0.05,22,res.fixed.pcut_sum_T100_stdN_ts_GShoot.csv,res.fixed,GShoot,T100_stdN,stdN
0,1.14990156392547,0,1.14990156392547,0,0.05,46,res.fixed.pcut_sum_T100_stdN_ts_Kern.csv,res.fixed,Kern,T100_stdN,stdN
0.859783182228769,0.282136892468788,0.24257655523095,0.0228885571273716,6,0.05,1,res.fixed.pcut_sum_T100_stdN_ts_L3Base.csv,res.fixed,L3Base,T100_stdN,stdN
0,1.11239229110592,0,1.11239229110592,0,0.05,11,res.fixed.pcut_sum_T100_stdN_ts_L3Tip.csv,res.fixed,L3Tip,T100_stdN,stdN
1,0.119983930254667,0.119983930254667,0,2,0.05,0,res.fixed.pcut_sum_T100_stdN_ts_LMAD.csv,res.fixed,LMAD,T100_stdN,stdN
0,1.02652965196301,0,1.02652965196301,0,0.05,10,res.fixed.pcut_sum_T100_stdN_ts_LMAN.csv,res.fixed,LMAN,T100_stdN,stdN
0,0.0173737392581757,0,0.0173737392581757,0,0.05,22,res.fixed.pcut_sum_T101_lowN_ts_GRoot.csv,res.fixed,GRoot,T101_lowN,lowN
0.0827050992085068,0.0098161783479867,0.000811848004118636,0.00865582718875173,1,0.05,25,res.fixed.pcut_sum_T101_lowN_ts_GShoot.csv,res.fixed,GShoot,T101_lowN,lowN
NA,0,0,0,0,0.05,0,res.fixed.pcut_sum_T101_lowN_ts_Kern.csv,res.fixed,Kern,T101_lowN,lowN
0.0445787592470177,0.0226024385513869,0.00100758866657779,0.0224694943738897,1,0.05,57,res.fixed.pcut_sum_T101_lowN_ts_L3Base.csv,res.fixed,L3Base,T101_lowN,lowN
0.104791618863647,0.015607071500603,0.00163549028826887,0.0132234734572317,2,0.05,58,res.fixed.pcut_sum_T101_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T101_lowN,lowN
0,0.00298641204581959,0,0.00298641204581959,0,0.05,6,res.fixed.pcut_sum_T101_lowN_ts_LMAD.csv,res.fixed,LMAD,T101_lowN,lowN
0,0.0160011030181158,0,0.0160011030181158,0,0.05,65,res.fixed.pcut_sum_T101_lowN_ts_LMAN.csv,res.fixed,LMAN,T101_lowN,lowN
0,0.436351897383856,0,0.436351897383856,0,0.05,17,res.fixed.pcut_sum_T101_stdN_ts_GRoot.csv,res.fixed,GRoot,T101_stdN,stdN
0.158563843162322,0.258393070383846,0.0409717982865751,0.222303799015634,1,0.05,12,res.fixed.pcut_sum_T101_stdN_ts_GShoot.csv,res.fixed,GShoot,T101_stdN,stdN
NA,0,0,0,0,0.05,0,res.fixed.pcut_sum_T101_stdN_ts_Kern.csv,res.fixed,Kern,T101_stdN,stdN
0.0847645137011613,0.371814523119924,0.0315166772392896,0.304961784045504,1,0.05,7,res.fixed.pcut_sum_T101_stdN_ts_L3Base.csv,res.fixed,L3Base,T101_stdN,stdN
0.188222737961692,0.235872350374138,0.0443965395968797,0.19546491426241,3,0.05,42,res.fixed.pcut_sum_T101_stdN_ts_L3Tip.csv,res.fixed,L3Tip,T101_stdN,stdN
0,0.528372629864811,0,0.528372629864811,0,0.05,38,res.fixed.pcut_sum_T101_stdN_ts_LMAD.csv,res.fixed,LMAD,T101_stdN,stdN
0,0.196475689006696,0,0.196475689006696,0,0.05,6,res.fixed.pcut_sum_T101_stdN_ts_LMAN.csv,res.fixed,LMAN,T101_stdN,stdN
0.059943676366027,0.812704135950937,0.0487164737067746,0.80585044002226,2,0.05,43,res.fixed.pcut_sum_T102_lowN_ts_GRoot.csv,res.fixed,GRoot,T102_lowN,lowN
0,0.667041525933667,0,0.667041525933667,0,0.05,34,res.fixed.pcut_sum_T102_lowN_ts_GShoot.csv,res.fixed,GShoot,T102_lowN,lowN
0,0.235529117790734,0,0.235529117790734,0,0.05,8,res.fixed.pcut_sum_T102_lowN_ts_Kern.csv,res.fixed,Kern,T102_lowN,lowN
0.0136599968705911,1.82526296757102,0.0249330864250259,1.68878406713744,1,0.05,70,res.fixed.pcut_sum_T102_lowN_ts_L3Base.csv,res.fixed,L3Base,T102_lowN,lowN
0.0574656075819696,1.46107124322061,0.0839613467122158,1.24451480257965,2,0.05,9,res.fixed.pcut_sum_T102_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T102_lowN,lowN
0,1.60279113714096,0,1.60279113714096,0,0.05,62,res.fixed.pcut_sum_T102_lowN_ts_LMAD.csv,res.fixed,LMAD,T102_lowN,lowN
0,1.80343180374073,0,1.80343180374073,0,0.05,26,res.fixed.pcut_sum_T102_lowN_ts_LMAN.csv,res.fixed,LMAN,T102_lowN,lowN
0.231599475375324,0.107072660747042,0.0247979720560551,0.0896481619580528,1,0.05,9,res.fixed.pcut_sum_T103_lowN_ts_GRoot.csv,res.fixed,GRoot,T103_lowN,lowN
0,0.337850354614193,0,0.337850354614193,0,0.05,24,res.fixed.pcut_sum_T103_lowN_ts_GShoot.csv,res.fixed,GShoot,T103_lowN,lowN
0,0.30175156286822,0,0.30175156286822,0,0.05,13,res.fixed.pcut_sum_T103_lowN_ts_Kern.csv,res.fixed,Kern,T103_lowN,lowN
0.152861918050873,0.344831889431629,0.0527116640236253,0.287353817913885,1,0.05,15,res.fixed.pcut_sum_T103_lowN_ts_L3Base.csv,res.fixed,L3Base,T103_lowN,lowN
0,0.399331518238314,0,0.399331518238314,0,0.05,25,res.fixed.pcut_sum_T103_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T103_lowN,lowN
0.165485019715754,0.383741793881131,0.0635035183261779,0.313637707201209,1,0.05,32,res.fixed.pcut_sum_T103_lowN_ts_LMAD.csv,res.fixed,LMAD,T103_lowN,lowN
0.00853978339062329,0.368019582977159,0.00314280752213245,0.36986113714784,1,0.05,16,res.fixed.pcut_sum_T103_lowN_ts_LMAN.csv,res.fixed,LMAN,T103_lowN,lowN
0,1.18866966699504,0,1.18866966699504,0,0.05,15,res.fixed.pcut_sum_T103_stdN_ts_GRoot.csv,res.fixed,GRoot,T103_stdN,stdN
0,2.66462941225907,0,2.66462941225907,0,0.05,22,res.fixed.pcut_sum_T103_stdN_ts_GShoot.csv,res.fixed,GShoot,T103_stdN,stdN
0,0.795767095572422,0,0.795767095572422,0,0.05,7,res.fixed.pcut_sum_T103_stdN_ts_Kern.csv,res.fixed,Kern,T103_stdN,stdN
0,2.32103408186823,0,2.32103408186823,0,0.05,59,res.fixed.pcut_sum_T103_stdN_ts_L3Base.csv,res.fixed,L3Base,T103_stdN,stdN
0.134680600446216,2.37027940198967,0.319230653085267,2.01318203661833,1,0.05,24,res.fixed.pcut_sum_T103_stdN_ts_L3Tip.csv,res.fixed,L3Tip,T103_stdN,stdN
0,2.07747751867541,0,2.07747751867541,0,0.05,45,res.fixed.pcut_sum_T103_stdN_ts_LMAD.csv,res.fixed,LMAD,T103_stdN,stdN
0,1.10428075353072,0,1.10428075353072,0,0.05,4,res.fixed.pcut_sum_T103_stdN_ts_LMAN.csv,res.fixed,LMAN,T103_stdN,stdN
0,0.678078650900769,0,0.678078650900769,0,0.05,40,res.fixed.pcut_sum_T104_lowN_ts_GRoot.csv,res.fixed,GRoot,T104_lowN,lowN
0,1.30622803852561,0,1.30622803852561,0,0.05,16,res.fixed.pcut_sum_T104_lowN_ts_GShoot.csv,res.fixed,GShoot,T104_lowN,lowN
0,1.37805356943063,0,1.37805356943063,0,0.05,48,res.fixed.pcut_sum_T104_lowN_ts_Kern.csv,res.fixed,Kern,T104_lowN,lowN
0,1.49004808589607,0,1.49004808589607,0,0.05,15,res.fixed.pcut_sum_T104_lowN_ts_L3Base.csv,res.fixed,L3Base,T104_lowN,lowN
0.0427772765509042,1.54810639819174,0.0662237755256721,1.32047075581533,2,0.05,34,res.fixed.pcut_sum_T104_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T104_lowN,lowN
0,0.546785732129202,0,0.546785732129202,0,0.05,18,res.fixed.pcut_sum_T104_lowN_ts_LMAD.csv,res.fixed,LMAD,T104_lowN,lowN
0.0247821618199767,1.21735831444921,0.0301687707415743,1.1289891238753,1,0.05,19,res.fixed.pcut_sum_T104_lowN_ts_LMAN.csv,res.fixed,LMAN,T104_lowN,lowN
0,0.282347710131474,0,0.282347710131474,0,0.05,10,res.fixed.pcut_sum_T104_stdN_ts_GRoot.csv,res.fixed,GRoot,T104_stdN,stdN
0,0.692704370458958,0,0.692704370458958,0,0.05,58,res.fixed.pcut_sum_T104_stdN_ts_GShoot.csv,res.fixed,GShoot,T104_stdN,stdN
0,0.526273238502259,0,0.526273238502259,0,0.05,16,res.fixed.pcut_sum_T104_stdN_ts_Kern.csv,res.fixed,Kern,T104_stdN,stdN
0.0356446384195075,0.737794343367973,0.0262984125973094,0.674496111826112,2,0.05,33,res.fixed.pcut_sum_T104_stdN_ts_L3Base.csv,res.fixed,L3Base,T104_stdN,stdN
1,0.0842206191724065,0.0842206191724065,0,3,0.05,0,res.fixed.pcut_sum_T104_stdN_ts_L3Tip.csv,res.fixed,L3Tip,T104_stdN,stdN
1,0.0141396108823329,0.0141396108823329,0,1,0.05,0,res.fixed.pcut_sum_T104_stdN_ts_LMAD.csv,res.fixed,LMAD,T104_stdN,stdN
0,0.0504257919482026,0,0.0504257919482026,0,0.05,1,res.fixed.pcut_sum_T104_stdN_ts_LMAN.csv,res.fixed,LMAN,T104_stdN,stdN
0.858624676164527,0.267339787741412,0.229544538675363,0.0487568434511779,1,0.05,4,res.fixed.pcut_sum_T105_lowN_ts_GRoot.csv,res.fixed,GRoot,T105_lowN,lowN
0,0.232858975334601,0,0.232858975334601,0,0.05,4,res.fixed.pcut_sum_T105_lowN_ts_GShoot.csv,res.fixed,GShoot,T105_lowN,lowN
0,0.194056747423605,0,0.194056747423605,0,0.05,3,res.fixed.pcut_sum_T105_lowN_ts_Kern.csv,res.fixed,Kern,T105_lowN,lowN
0.429283657295921,0.548892628918407,0.235630635204867,0.380672441443549,2,0.05,9,res.fixed.pcut_sum_T105_lowN_ts_L3Base.csv,res.fixed,L3Base,T105_lowN,lowN
0,1.33510432783374,0,1.33510432783374,0,0.05,16,res.fixed.pcut_sum_T105_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T105_lowN,lowN
0,0.632738085354172,0,0.632738085354172,0,0.05,13,res.fixed.pcut_sum_T105_lowN_ts_LMAD.csv,res.fixed,LMAD,T105_lowN,lowN
0,0.900081314887759,0,0.900081314887759,0,0.05,11,res.fixed.pcut_sum_T105_lowN_ts_LMAN.csv,res.fixed,LMAN,T105_lowN,lowN
0,2.16367895472658,0,2.16367895472658,0,0.05,43,res.fixed.pcut_sum_T106_lowN_ts_GRoot.csv,res.fixed,GRoot,T106_lowN,lowN
0,0.503340349607388,0,0.503340349607388,0,0.05,12,res.fixed.pcut_sum_T106_lowN_ts_GShoot.csv,res.fixed,GShoot,T106_lowN,lowN
0,1.82590302039581,0,1.82590302039581,0,0.05,54,res.fixed.pcut_sum_T106_lowN_ts_Kern.csv,res.fixed,Kern,T106_lowN,lowN
0.020086347115279,1.9397604624723,0.0389627019697128,1.94445958322716,1,0.05,37,res.fixed.pcut_sum_T106_lowN_ts_L3Base.csv,res.fixed,L3Base,T106_lowN,lowN
0.0107449336510879,2.11694885630443,0.0227464750037376,2.07931387658809,1,0.05,17,res.fixed.pcut_sum_T106_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T106_lowN,lowN
0,1.02961177284615,0,1.02961177284615,0,0.05,23,res.fixed.pcut_sum_T106_lowN_ts_LMAD.csv,res.fixed,LMAD,T106_lowN,lowN
0,3.00181191432703,0,3.00181191432703,0,0.05,35,res.fixed.pcut_sum_T106_lowN_ts_LMAN.csv,res.fixed,LMAN,T106_lowN,lowN
0.0504705738129331,0.00963470752837611,0.000486269217476928,0.00889043115343323,1,0.05,20,res.fixed.pcut_sum_T106_stdN_ts_GRoot.csv,res.fixed,GRoot,T106_stdN,stdN
0,0.00589437694400709,0,0.00589437694400709,0,0.05,6,res.fixed.pcut_sum_T106_stdN_ts_GShoot.csv,res.fixed,GShoot,T106_stdN,stdN
0,0.0184153100476358,0,0.0184153100476358,0,0.05,62,res.fixed.pcut_sum_T106_stdN_ts_Kern.csv,res.fixed,Kern,T106_stdN,stdN
0.126047634728253,0.0182760703964029,0.00230365544559364,0.0157887140720802,1,0.05,26,res.fixed.pcut_sum_T106_stdN_ts_L3Base.csv,res.fixed,L3Base,T106_stdN,stdN
0.0226763234663205,0.0139105599065328,0.000315440356038167,0.0133064184421303,1,0.05,18,res.fixed.pcut_sum_T106_stdN_ts_L3Tip.csv,res.fixed,L3Tip,T106_stdN,stdN
0,0.000568312924500427,0,0.000568312924500427,0,0.05,4,res.fixed.pcut_sum_T106_stdN_ts_LMAD.csv,res.fixed,LMAD,T106_stdN,stdN
0,0.00574045085961187,0,0.00574045085961187,0,0.05,5,res.fixed.pcut_sum_T106_stdN_ts_LMAN.csv,res.fixed,LMAN,T106_stdN,stdN
0,0.00425453343845861,0,0.00425453343845861,0,0.05,17,res.fixed.pcut_sum_T107_lowN_ts_GRoot.csv,res.fixed,GRoot,T107_lowN,lowN
0,0.0026623807154221,0,0.0026623807154221,0,0.05,35,res.fixed.pcut_sum_T107_lowN_ts_GShoot.csv,res.fixed,GShoot,T107_lowN,lowN
0.0496168270297593,0.00403427299846433,0.000200167825555633,0.00372745563425207,1,0.05,15,res.fixed.pcut_sum_T107_lowN_ts_Kern.csv,res.fixed,Kern,T107_lowN,lowN
0.126989990064078,0.00383684662415788,0.000487241114679201,0.00283585518544402,5,0.05,33,res.fixed.pcut_sum_T107_lowN_ts_L3Base.csv,res.fixed,L3Base,T107_lowN,lowN
0.0115786467424425,0.00684018122911721,7.92000421062341e-05,0.00666828008510916,1,0.05,59,res.fixed.pcut_sum_T107_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T107_lowN,lowN
0,0.00102517579476767,0,0.00102517579476767,0,0.05,17,res.fixed.pcut_sum_T107_lowN_ts_LMAD.csv,res.fixed,LMAD,T107_lowN,lowN
0,0.00815450928322239,0,0.00815450928322239,0,0.05,32,res.fixed.pcut_sum_T107_lowN_ts_LMAN.csv,res.fixed,LMAN,T107_lowN,lowN
0,0.269631279532059,0,0.269631279532059,0,0.05,28,res.fixed.pcut_sum_T107_stdN_ts_GRoot.csv,res.fixed,GRoot,T107_stdN,stdN
0.0402242401835358,0.202662226091376,0.00815193405842955,0.185955783512771,1,0.05,11,res.fixed.pcut_sum_T107_stdN_ts_GShoot.csv,res.fixed,GShoot,T107_stdN,stdN
0.0370744103494829,0.18919393165579,0.00701425345783879,0.170920424733498,1,0.05,11,res.fixed.pcut_sum_T107_stdN_ts_Kern.csv,res.fixed,Kern,T107_stdN,stdN
0,0.264473929558092,0,0.264473929558092,0,0.05,22,res.fixed.pcut_sum_T107_stdN_ts_L3Base.csv,res.fixed,L3Base,T107_stdN,stdN
1,0.0316955254651814,0.0316955254651814,0,4,0.05,0,res.fixed.pcut_sum_T107_stdN_ts_L3Tip.csv,res.fixed,L3Tip,T107_stdN,stdN
0,0.278740286220012,0,0.278740286220012,0,0.05,34,res.fixed.pcut_sum_T107_stdN_ts_LMAD.csv,res.fixed,LMAD,T107_stdN,stdN
0,0.329201499018892,0,0.329201499018892,0,0.05,21,res.fixed.pcut_sum_T107_stdN_ts_LMAN.csv,res.fixed,LMAN,T107_stdN,stdN
0,0.0703326917620808,0,0.0703326917620808,0,0.05,53,res.fixed.pcut_sum_T108_lowN_ts_GRoot.csv,res.fixed,GRoot,T108_lowN,lowN
0,0.088441310121395,0,0.088441310121395,0,0.05,37,res.fixed.pcut_sum_T108_lowN_ts_GShoot.csv,res.fixed,GShoot,T108_lowN,lowN
0,0.0846176395496704,0,0.0846176395496704,0,0.05,66,res.fixed.pcut_sum_T108_lowN_ts_Kern.csv,res.fixed,Kern,T108_lowN,lowN
0.017309007624658,0.0955632499549085,0.00165410502210661,0.0942070870910159,1,0.05,37,res.fixed.pcut_sum_T108_lowN_ts_L3Base.csv,res.fixed,L3Base,T108_lowN,lowN
0,0.0795005140068957,0,0.0795005140068957,0,0.05,25,res.fixed.pcut_sum_T108_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T108_lowN,lowN
1,0.0012835788452176,0.0012835788452176,0,1,0.05,0,res.fixed.pcut_sum_T108_lowN_ts_LMAD.csv,res.fixed,LMAD,T108_lowN,lowN
0,0.0862937389840104,0,0.0862937389840104,0,0.05,35,res.fixed.pcut_sum_T108_lowN_ts_LMAN.csv,res.fixed,LMAN,T108_lowN,lowN
0,1.17487647911709,0,1.17487647911709,0,0.05,26,res.fixed.pcut_sum_T108_stdN_ts_GRoot.csv,res.fixed,GRoot,T108_stdN,stdN
0,1.13829291256031,0,1.13829291256031,0,0.05,22,res.fixed.pcut_sum_T108_stdN_ts_GShoot.csv,res.fixed,GShoot,T108_stdN,stdN
0,1.0715365415596,0,1.0715365415596,0,0.05,20,res.fixed.pcut_sum_T108_stdN_ts_Kern.csv,res.fixed,Kern,T108_stdN,stdN
0,1.14557477569398,0,1.14557477569398,0,0.05,20,res.fixed.pcut_sum_T108_stdN_ts_L3Base.csv,res.fixed,L3Base,T108_stdN,stdN
1,0.0247779834008546,0.0247779834008546,0,1,0.05,0,res.fixed.pcut_sum_T108_stdN_ts_L3Tip.csv,res.fixed,L3Tip,T108_stdN,stdN
0,0.879731831598424,0,0.879731831598424,0,0.05,23,res.fixed.pcut_sum_T108_stdN_ts_LMAD.csv,res.fixed,LMAD,T108_stdN,stdN
0,1.18436925145026,0,1.18436925145026,0,0.05,38,res.fixed.pcut_sum_T108_stdN_ts_LMAN.csv,res.fixed,LMAN,T108_stdN,stdN
0.113451958912748,0.0901596415018908,0.0102287879432606,0.0767695040203459,1,0.05,15,res.fixed.pcut_sum_T109_lowN_ts_GRoot.csv,res.fixed,GRoot,T109_lowN,lowN
0,0.242085127636845,0,0.242085127636845,0,0.05,14,res.fixed.pcut_sum_T109_lowN_ts_GShoot.csv,res.fixed,GShoot,T109_lowN,lowN
0,0.438059228742025,0,0.438059228742025,0,0.05,64,res.fixed.pcut_sum_T109_lowN_ts_Kern.csv,res.fixed,Kern,T109_lowN,lowN
0.104982258084895,0.125626145011501,0.0131885163778079,0.107892922764864,1,0.05,9,res.fixed.pcut_sum_T109_lowN_ts_L3Base.csv,res.fixed,L3Base,T109_lowN,lowN
0.508211489172772,0.394813788859426,0.200648903582193,0.11280531628783,3,0.05,4,res.fixed.pcut_sum_T109_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T109_lowN,lowN
0,0.354767125323091,0,0.354767125323091,0,0.05,25,res.fixed.pcut_sum_T109_lowN_ts_LMAD.csv,res.fixed,LMAD,T109_lowN,lowN
0,0.212702513591265,0,0.212702513591265,0,0.05,14,res.fixed.pcut_sum_T109_lowN_ts_LMAN.csv,res.fixed,LMAN,T109_lowN,lowN
0,0.103358979347126,0,0.103358979347126,0,0.05,22,res.fixed.pcut_sum_T109_stdN_ts_GRoot.csv,res.fixed,GRoot,T109_stdN,stdN
0,0.119648387174325,0,0.119648387174325,0,0.05,29,res.fixed.pcut_sum_T109_stdN_ts_GShoot.csv,res.fixed,GShoot,T109_stdN,stdN
0.630588700196076,0.0133940255300403,0.00844612114938115,0.00467008347621941,1,0.05,4,res.fixed.pcut_sum_T109_stdN_ts_Kern.csv,res.fixed,Kern,T109_stdN,stdN
0,0.00802134598892278,0,0.00802134598892278,0,0.05,5,res.fixed.pcut_sum_T109_stdN_ts_L3Base.csv,res.fixed,L3Base,T109_stdN,stdN
0.338459032280465,0.0704785036352343,0.0238540861369566,0.0543318896797504,1,0.05,35,res.fixed.pcut_sum_T109_stdN_ts_L3Tip.csv,res.fixed,L3Tip,T109_stdN,stdN
0,0.104546690407508,0,0.104546690407508,0,0.05,17,res.fixed.pcut_sum_T109_stdN_ts_LMAD.csv,res.fixed,LMAD,T109_stdN,stdN
0,0.0688031823297515,0,0.0688031823297515,0,0.05,40,res.fixed.pcut_sum_T109_stdN_ts_LMAN.csv,res.fixed,LMAN,T109_stdN,stdN
0.100660184971168,0.0194962708837259,0.00196249823340385,0.0150210301858008,2,0.05,42,res.fixed.pcut_sum_T11_lowN_ts_GRoot.csv,res.fixed,GRoot,T11_lowN,lowN
0,0.0168143129408729,0,0.0168143129408729,0,0.05,22,res.fixed.pcut_sum_T11_lowN_ts_GShoot.csv,res.fixed,GShoot,T11_lowN,lowN
0,0.0169456608212252,0,0.0169456608212252,0,0.05,32,res.fixed.pcut_sum_T11_lowN_ts_Kern.csv,res.fixed,Kern,T11_lowN,lowN
0.34342141453561,0.0115679800479793,0.00397269207139678,0.00717568580806229,2,0.05,10,res.fixed.pcut_sum_T11_lowN_ts_L3Base.csv,res.fixed,L3Base,T11_lowN,lowN
0,0.00671405579012574,0,0.00671405579012574,0,0.05,15,res.fixed.pcut_sum_T11_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T11_lowN,lowN
0.0320038831580753,0.0124617641772695,0.000398824844672821,0.0116315212314436,2,0.05,55,res.fixed.pcut_sum_T11_lowN_ts_LMAD.csv,res.fixed,LMAD,T11_lowN,lowN
0,0.0120580099380417,0,0.0120580099380417,0,0.05,11,res.fixed.pcut_sum_T11_lowN_ts_LMAN.csv,res.fixed,LMAN,T11_lowN,lowN
0,0.0615674217159664,0,0.0615674217159664,0,0.05,10,res.fixed.pcut_sum_T11_stdN_ts_GRoot.csv,res.fixed,GRoot,T11_stdN,stdN
