GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0001882	F	nucleoside binding	9	54	3443	25864	0.29	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d010534 // Zm00001d010530 // Zm00001d052992 // Zm00001d038576 // Zm00001d042470 // Zm00001d024990 // Zm00001d004388 
GO:0003676	F	nucleic acid binding	9	54	4480	25864	0.61	1	// Zm00001d035266 // Zm00001d024350 // Zm00001d039762 // Zm00001d038671 // Zm00001d011589 // Zm00001d015300 // Zm00001d039758 // Zm00001d020748 // Zm00001d011590 
GO:0016787	F	hydrolase activity	12	54	3710	25864	0.078	1	// Zm00001d010529 // Zm00001d035263 // Zm00001d013799 // Zm00001d042475 // Zm00001d042474 // Zm00001d038576 // Zm00001d011269 // Zm00001d044053 // Zm00001d020744 // Zm00001d028615 // Zm00001d022367 // Zm00001d010532 
GO:0005215	F	transporter activity	6	54	1225	25864	0.042	1	// Zm00001d053143 // Zm00001d046661 // Zm00001d002936 // Zm00001d016049 // Zm00001d038576 // Zm00001d039386 
GO:0003824	F	catalytic activity	23	54	11519	25864	0.66	1	// Zm00001d035263 // Zm00001d038671 // Zm00001d013799 // Zm00001d038576 // Zm00001d044053 // Zm00001d046492 // Zm00001d015376 // Zm00001d010529 // Zm00001d004388 // Zm00001d020744 // Zm00001d038668 // Zm00001d039763 // Zm00001d038667 // Zm00001d042475 // Zm00001d042474 // Zm00001d042476 // Zm00001d039385 // Zm00001d042470 // Zm00001d010532 // Zm00001d010530 // Zm00001d028615 // Zm00001d022367 // Zm00001d011269 
GO:0030554	F	adenyl nucleotide binding	9	54	3432	25864	0.28	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d010534 // Zm00001d010530 // Zm00001d052992 // Zm00001d038576 // Zm00001d042470 // Zm00001d024990 // Zm00001d004388 
GO:0032559	F	adenyl ribonucleotide binding	8	54	3266	25864	0.37	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d010534 // Zm00001d010530 // Zm00001d052992 // Zm00001d038576 // Zm00001d042470 // Zm00001d024990 
GO:0046872	F	metal ion binding	5	54	4124	25864	0.95	1	// Zm00001d042475 // Zm00001d046722 // Zm00001d035263 // Zm00001d038667 // Zm00001d044481 
GO:0005515	F	protein binding	8	54	5187	25864	0.87	1	// Zm00001d010529 // Zm00001d015377 // Zm00001d002936 // Zm00001d013799 // Zm00001d011588 // Zm00001d038576 // Zm00001d043989 // Zm00001d022366 
GO:0032555	F	purine ribonucleotide binding	9	54	3607	25864	0.34	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d010534 // Zm00001d010532 // Zm00001d010530 // Zm00001d052992 // Zm00001d038576 // Zm00001d042470 // Zm00001d024990 
GO:0032553	F	ribonucleotide binding	9	54	3607	25864	0.34	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d010534 // Zm00001d010532 // Zm00001d010530 // Zm00001d052992 // Zm00001d038576 // Zm00001d042470 // Zm00001d024990 
GO:0016021	C	integral to membrane	12	54	1723	25864	0.00019	0.012	// Zm00001d053143 // Zm00001d036178 // Zm00001d039763 // Zm00001d046661 // Zm00001d042476 // Zm00001d013799 // Zm00001d044487 // Zm00001d038576 // Zm00001d039385 // Zm00001d039386 // Zm00001d027758 // Zm00001d022364 
GO:0031224	C	intrinsic to membrane	12	54	1790	25864	0.00027	0.012	// Zm00001d053143 // Zm00001d036178 // Zm00001d039763 // Zm00001d046661 // Zm00001d042476 // Zm00001d013799 // Zm00001d044487 // Zm00001d038576 // Zm00001d039385 // Zm00001d039386 // Zm00001d027758 // Zm00001d022364 
GO:0044425	C	membrane part	14	54	2755	25864	0.0013	0.038	// Zm00001d015376 // Zm00001d053143 // Zm00001d036178 // Zm00001d039763 // Zm00001d046661 // Zm00001d042476 // Zm00001d013799 // Zm00001d016049 // Zm00001d044487 // Zm00001d038576 // Zm00001d039385 // Zm00001d039386 // Zm00001d027758 // Zm00001d022364 
GO:0044464	C	cell part	35	54	12261	25864	0.0076	0.14	// Zm00001d035266 // Zm00001d036184 // Zm00001d035265 // Zm00001d038671 // Zm00001d013799 // Zm00001d016049 // Zm00001d043989 // Zm00001d038576 // Zm00001d027758 // Zm00001d039758 // Zm00001d015376 // Zm00001d015377 // Zm00001d046661 // Zm00001d011590 // Zm00001d020748 // Zm00001d053143 // Zm00001d038668 // Zm00001d036178 // Zm00001d010529 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d044487 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d002936 // Zm00001d044480 // Zm00001d039386 // Zm00001d024350 // Zm00001d010530 // Zm00001d011589 // Zm00001d011588 // Zm00001d042476 // Zm00001d022364 
GO:0005623	C	cell	35	54	12261	25864	0.0076	0.14	// Zm00001d035266 // Zm00001d036184 // Zm00001d035265 // Zm00001d038671 // Zm00001d013799 // Zm00001d016049 // Zm00001d043989 // Zm00001d038576 // Zm00001d027758 // Zm00001d039758 // Zm00001d015376 // Zm00001d015377 // Zm00001d046661 // Zm00001d011590 // Zm00001d020748 // Zm00001d053143 // Zm00001d038668 // Zm00001d036178 // Zm00001d010529 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d044487 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d002936 // Zm00001d044480 // Zm00001d039386 // Zm00001d024350 // Zm00001d010530 // Zm00001d011589 // Zm00001d011588 // Zm00001d042476 // Zm00001d022364 
GO:0044428	C	nuclear part	5	54	842	25864	0.031	0.4	// Zm00001d039762 // Zm00001d039758 // Zm00001d035265 // Zm00001d002936 // Zm00001d038667 
GO:0005634	C	nucleus	11	54	2821	25864	0.03	0.4	// Zm00001d035266 // Zm00001d015376 // Zm00001d035265 // Zm00001d024350 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d002936 // Zm00001d039758 // Zm00001d011590 
GO:0030529	C	ribonucleoprotein complex	5	54	894	25864	0.039	0.44	// Zm00001d039762 // Zm00001d039758 // Zm00001d038671 // Zm00001d015301 // Zm00001d015300 
GO:0016020	C	membrane	17	54	5709	25864	0.071	0.71	// Zm00001d015376 // Zm00001d053143 // Zm00001d036184 // Zm00001d036178 // Zm00001d042476 // Zm00001d039763 // Zm00001d046661 // Zm00001d038667 // Zm00001d013799 // Zm00001d016049 // Zm00001d044487 // Zm00001d038576 // Zm00001d039385 // Zm00001d002936 // Zm00001d039386 // Zm00001d027758 // Zm00001d022364 
GO:0044424	C	intracellular part	24	54	8943	25864	0.085	0.75	// Zm00001d035266 // Zm00001d036184 // Zm00001d035265 // Zm00001d038671 // Zm00001d016049 // Zm00001d039758 // Zm00001d015376 // Zm00001d015377 // Zm00001d011590 // Zm00001d020748 // Zm00001d038668 // Zm00001d036178 // Zm00001d010529 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d015301 // Zm00001d015300 // Zm00001d002936 // Zm00001d043989 // Zm00001d024350 // Zm00001d010530 // Zm00001d011589 // Zm00001d011588 
GO:0005622	C	intracellular	25	54	9452	25864	0.091	0.75	// Zm00001d035266 // Zm00001d036184 // Zm00001d035265 // Zm00001d038671 // Zm00001d016049 // Zm00001d039758 // Zm00001d015376 // Zm00001d015377 // Zm00001d011590 // Zm00001d020748 // Zm00001d038668 // Zm00001d036178 // Zm00001d010529 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d015301 // Zm00001d015300 // Zm00001d002936 // Zm00001d044480 // Zm00001d043989 // Zm00001d024350 // Zm00001d010530 // Zm00001d011589 // Zm00001d011588 
GO:0043234	C	protein complex	5	54	1572	25864	0.23	1	// Zm00001d016049 // Zm00001d039762 // Zm00001d039758 // Zm00001d038667 // Zm00001d043989 
GO:0043231	C	intracellular membrane-bounded organelle	17	54	6999	25864	0.28	1	// Zm00001d035266 // Zm00001d015376 // Zm00001d036184 // Zm00001d035265 // Zm00001d024350 // Zm00001d015377 // Zm00001d038668 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d016049 // Zm00001d011588 // Zm00001d036178 // Zm00001d002936 // Zm00001d011589 // Zm00001d039758 // Zm00001d011590 
GO:0043232	C	intracellular non-membrane-bounded organelle	5	54	1579	25864	0.23	1	// Zm00001d039762 // Zm00001d039758 // Zm00001d035265 // Zm00001d015301 // Zm00001d015300 
GO:0044422	C	organelle part	10	54	3457	25864	0.18	1	// Zm00001d015376 // Zm00001d036184 // Zm00001d035265 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d036178 // Zm00001d002936 // Zm00001d039758 // Zm00001d015300 
GO:0043229	C	intracellular organelle	19	54	7690	25864	0.23	1	// Zm00001d035266 // Zm00001d015376 // Zm00001d036184 // Zm00001d035265 // Zm00001d024350 // Zm00001d015377 // Zm00001d038668 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d016049 // Zm00001d011588 // Zm00001d015301 // Zm00001d036178 // Zm00001d002936 // Zm00001d011589 // Zm00001d039758 // Zm00001d011590 // Zm00001d015300 
GO:0043227	C	membrane-bounded organelle	17	54	7016	25864	0.28	1	// Zm00001d035266 // Zm00001d015376 // Zm00001d036184 // Zm00001d035265 // Zm00001d024350 // Zm00001d015377 // Zm00001d038668 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d016049 // Zm00001d011588 // Zm00001d036178 // Zm00001d002936 // Zm00001d011589 // Zm00001d039758 // Zm00001d011590 
GO:0044446	C	intracellular organelle part	10	54	3454	25864	0.18	1	// Zm00001d015376 // Zm00001d036184 // Zm00001d035265 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d036178 // Zm00001d002936 // Zm00001d039758 // Zm00001d015300 
GO:0044444	C	cytoplasmic part	11	54	6103	25864	0.76	1	// Zm00001d015376 // Zm00001d038668 // Zm00001d036184 // Zm00001d036178 // Zm00001d015377 // Zm00001d039763 // Zm00001d038671 // Zm00001d016049 // Zm00001d015301 // Zm00001d015300 // Zm00001d020748 
GO:0005737	C	cytoplasm	14	54	6663	25864	0.54	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d036184 // Zm00001d036178 // Zm00001d015377 // Zm00001d038668 // Zm00001d039763 // Zm00001d038671 // Zm00001d002936 // Zm00001d016049 // Zm00001d015301 // Zm00001d015300 // Zm00001d020748 // Zm00001d010530 
GO:0043228	C	non-membrane-bounded organelle	5	54	1579	25864	0.23	1	// Zm00001d039762 // Zm00001d039758 // Zm00001d035265 // Zm00001d015301 // Zm00001d015300 
GO:0043226	C	organelle	19	54	7692	25864	0.23	1	// Zm00001d035266 // Zm00001d015376 // Zm00001d036184 // Zm00001d035265 // Zm00001d024350 // Zm00001d015377 // Zm00001d038668 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d016049 // Zm00001d011588 // Zm00001d015301 // Zm00001d036178 // Zm00001d002936 // Zm00001d011589 // Zm00001d039758 // Zm00001d011590 // Zm00001d015300 
GO:0005886	C	plasma membrane	5	54	2404	25864	0.57	1	// Zm00001d015376 // Zm00001d053143 // Zm00001d038576 // Zm00001d039385 // Zm00001d038667 
GO:0032991	C	macromolecular complex	8	54	2550	25864	0.16	1	// Zm00001d039762 // Zm00001d038671 // Zm00001d038667 // Zm00001d016049 // Zm00001d015301 // Zm00001d015300 // Zm00001d043989 // Zm00001d039758 
