GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0051252	P	regulation of RNA metabolic process	15	93	1719	25864	0.0012	0.05	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0006355	P	regulation of transcription, DNA-dependent	15	93	1706	25864	0.0011	0.05	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0010556	P	regulation of macromolecule biosynthetic process	15	93	1783	25864	0.0018	0.05	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0031326	P	regulation of cellular biosynthetic process	15	93	1823	25864	0.0022	0.054	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0009889	P	regulation of biosynthetic process	15	93	1828	25864	0.0022	0.054	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0032774	P	RNA biosynthetic process	15	93	1922	25864	0.0036	0.055	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0019222	P	regulation of metabolic process	16	93	2085	25864	0.0031	0.055	// Zm00001d035266 // Zm00001d007042 // Zm00001d024813 // Zm00001d024350 // Zm00001d048347 // Zm00001d030773 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0080090	P	regulation of primary metabolic process	15	93	1868	25864	0.0028	0.055	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0060255	P	regulation of macromolecule metabolic process	15	93	1909	25864	0.0034	0.055	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0048518	P	positive regulation of biological process	5	93	280	25864	0.0036	0.055	// Zm00001d046500 // Zm00001d039758 // Zm00001d038667 // Zm00001d006248 // Zm00001d039762 
GO:0010468	P	regulation of gene expression	15	93	1863	25864	0.0027	0.055	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0043170	P	macromolecule metabolic process	40	93	7592	25864	0.0036	0.055	// Zm00001d035266 // Zm00001d007043 // Zm00001d022342 // Zm00001d035263 // Zm00001d036181 // Zm00001d047604 // Zm00001d038671 // Zm00001d013799 // Zm00001d043048 // Zm00001d048345 // Zm00001d047595 // Zm00001d039758 // Zm00001d047596 // Zm00001d015376 // Zm00001d010529 // Zm00001d006248 // Zm00001d024813 // Zm00001d052680 // Zm00001d007042 // Zm00001d024805 // Zm00001d011590 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d042475 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d042470 // Zm00001d043989 // Zm00001d010534 // Zm00001d024350 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 // Zm00001d028615 
GO:0006350	P	transcription	15	93	1916	25864	0.0035	0.055	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0006351	P	transcription, DNA-dependent	15	93	1915	25864	0.0035	0.055	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0044085	P	cellular component biogenesis	8	93	725	25864	0.0048	0.07	// Zm00001d007043 // Zm00001d039762 // Zm00001d038671 // Zm00001d036177 // Zm00001d048346 // Zm00001d039385 // Zm00001d039758 // Zm00001d047596 
GO:0010467	P	gene expression	21	93	3342	25864	0.0072	0.1	// Zm00001d035266 // Zm00001d007043 // Zm00001d024350 // Zm00001d048347 // Zm00001d010530 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d047262 // Zm00001d006248 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 // Zm00001d015301 // Zm00001d015300 // Zm00001d007042 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0050794	P	regulation of cellular process	19	93	2928	25864	0.0077	0.1	// Zm00001d035266 // Zm00001d007042 // Zm00001d024813 // Zm00001d024350 // Zm00001d048347 // Zm00001d039758 // Zm00001d030773 // Zm00001d046500 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d039762 // Zm00001d047595 // Zm00001d048345 // Zm00001d011590 // Zm00001d047596 // Zm00001d047597 
GO:0034622	P	cellular macromolecular complex assembly	5	93	356	25864	0.0097	0.13	// Zm00001d007043 // Zm00001d036177 // Zm00001d047596 // Zm00001d038671 // Zm00001d048346 
GO:0009987	P	cellular process	56	93	12394	25864	0.012	0.15	// Zm00001d022341 // Zm00001d035266 // Zm00001d007043 // Zm00001d022342 // Zm00001d035263 // Zm00001d036181 // Zm00001d047604 // Zm00001d038671 // Zm00001d024803 // Zm00001d016049 // Zm00001d043048 // Zm00001d048345 // Zm00001d047595 // Zm00001d047597 // Zm00001d047596 // Zm00001d039758 // Zm00001d039762 // Zm00001d046492 // Zm00001d015376 // Zm00001d010529 // Zm00001d046500 // Zm00001d006248 // Zm00001d039763 // Zm00001d052680 // Zm00001d007042 // Zm00001d024805 // Zm00001d011590 // Zm00001d053143 // Zm00001d038668 // Zm00001d030773 // Zm00001d046661 // Zm00001d036177 // Zm00001d038667 // Zm00001d030774 // Zm00001d042475 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d002936 // Zm00001d044480 // Zm00001d043989 // Zm00001d048346 // Zm00001d024813 // Zm00001d010534 // Zm00001d024350 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d003761 // Zm00001d011589 // Zm00001d011588 // Zm00001d038576 // Zm00001d034505 // Zm00001d028615 // Zm00001d042470 
GO:0006139	P	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	21	93	3518	25864	0.013	0.15	// Zm00001d035266 // Zm00001d007043 // Zm00001d038671 // Zm00001d024350 // Zm00001d048347 // Zm00001d036181 // Zm00001d024813 // Zm00001d024805 // Zm00001d010530 // Zm00001d003762 // Zm00001d006248 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 // Zm00001d007042 // Zm00001d038667 // Zm00001d039762 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0051716	P	cellular response to stimulus	8	93	893	25864	0.016	0.18	// Zm00001d007042 // Zm00001d010529 // Zm00001d036181 // Zm00001d046500 // Zm00001d048345 // Zm00001d038667 // Zm00001d011588 // Zm00001d047595 
GO:0034621	P	cellular macromolecular complex subunit organization	5	93	402	25864	0.016	0.18	// Zm00001d007043 // Zm00001d036177 // Zm00001d047596 // Zm00001d038671 // Zm00001d048346 
GO:0044249	P	cellular biosynthetic process	25	93	4603	25864	0.019	0.21	// Zm00001d035266 // Zm00001d007042 // Zm00001d022342 // Zm00001d024805 // Zm00001d047595 // Zm00001d039758 // Zm00001d047596 // Zm00001d015376 // Zm00001d006248 // Zm00001d024813 // Zm00001d011590 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d024350 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 
GO:0050789	P	regulation of biological process	19	93	3207	25864	0.019	0.21	// Zm00001d035266 // Zm00001d007042 // Zm00001d024813 // Zm00001d024350 // Zm00001d048347 // Zm00001d039758 // Zm00001d030773 // Zm00001d046500 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d039762 // Zm00001d047595 // Zm00001d048345 // Zm00001d011590 // Zm00001d047596 // Zm00001d047597 
GO:0051649	P	establishment of localization in cell	6	93	587	25864	0.02	0.21	// Zm00001d002936 // Zm00001d048346 // Zm00001d016049 // Zm00001d034505 // Zm00001d044480 // Zm00001d030774 
GO:0033554	P	cellular response to stress	5	93	442	25864	0.022	0.22	// Zm00001d007042 // Zm00001d010529 // Zm00001d038667 // Zm00001d046500 // Zm00001d036181 
GO:0065003	P	macromolecular complex assembly	5	93	452	25864	0.024	0.24	// Zm00001d007043 // Zm00001d036177 // Zm00001d047596 // Zm00001d038671 // Zm00001d048346 
GO:0046907	P	intracellular transport	5	93	467	25864	0.027	0.26	// Zm00001d016049 // Zm00001d048346 // Zm00001d044480 // Zm00001d002936 // Zm00001d030774 
GO:0051641	P	cellular localization	6	93	638	25864	0.028	0.26	// Zm00001d002936 // Zm00001d048346 // Zm00001d016049 // Zm00001d034505 // Zm00001d044480 // Zm00001d030774 
GO:0044265	P	cellular macromolecule catabolic process	5	93	480	25864	0.03	0.26	// Zm00001d015376 // Zm00001d043989 // Zm00001d043048 // Zm00001d038671 // Zm00001d010534 
GO:0009058	P	biosynthetic process	25	93	4789	25864	0.03	0.26	// Zm00001d035266 // Zm00001d007042 // Zm00001d022342 // Zm00001d024805 // Zm00001d047595 // Zm00001d039758 // Zm00001d047596 // Zm00001d015376 // Zm00001d006248 // Zm00001d024813 // Zm00001d011590 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d024350 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 
GO:0044237	P	cellular metabolic process	44	93	9644	25864	0.031	0.26	// Zm00001d022341 // Zm00001d035266 // Zm00001d007043 // Zm00001d022342 // Zm00001d035263 // Zm00001d036181 // Zm00001d047604 // Zm00001d038671 // Zm00001d024803 // Zm00001d043048 // Zm00001d048345 // Zm00001d047595 // Zm00001d039758 // Zm00001d047596 // Zm00001d046492 // Zm00001d015376 // Zm00001d010529 // Zm00001d006248 // Zm00001d039763 // Zm00001d052680 // Zm00001d007042 // Zm00001d024805 // Zm00001d011590 // Zm00001d038668 // Zm00001d030773 // Zm00001d039762 // Zm00001d038667 // Zm00001d042475 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d042470 // Zm00001d043989 // Zm00001d024813 // Zm00001d010534 // Zm00001d024350 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 // Zm00001d028615 
GO:0043933	P	macromolecular complex subunit organization	5	93	500	25864	0.035	0.3	// Zm00001d007043 // Zm00001d036177 // Zm00001d047596 // Zm00001d038671 // Zm00001d048346 
GO:0065007	P	biological regulation	20	93	3697	25864	0.039	0.32	// Zm00001d035266 // Zm00001d007042 // Zm00001d024813 // Zm00001d024350 // Zm00001d048347 // Zm00001d039758 // Zm00001d030773 // Zm00001d046500 // Zm00001d003762 // Zm00001d006248 // Zm00001d003761 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d039762 // Zm00001d047595 // Zm00001d048345 // Zm00001d011590 // Zm00001d047596 // Zm00001d047597 
GO:0006807	P	nitrogen compound metabolic process	22	93	4183	25864	0.04	0.32	// Zm00001d035266 // Zm00001d007043 // Zm00001d046492 // Zm00001d036181 // Zm00001d024805 // Zm00001d038671 // Zm00001d047595 // Zm00001d039758 // Zm00001d047596 // Zm00001d007042 // Zm00001d006248 // Zm00001d011590 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d024350 // Zm00001d010530 // Zm00001d003762 // Zm00001d048347 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 
GO:0022607	P	cellular component assembly	5	93	529	25864	0.043	0.33	// Zm00001d007043 // Zm00001d036177 // Zm00001d047596 // Zm00001d038671 // Zm00001d048346 
GO:0044267	P	cellular protein metabolic process	20	93	3741	25864	0.043	0.33	// Zm00001d015376 // Zm00001d052680 // Zm00001d022342 // Zm00001d035263 // Zm00001d010529 // Zm00001d047604 // Zm00001d010530 // Zm00001d048345 // Zm00001d047262 // Zm00001d006248 // Zm00001d048346 // Zm00001d015301 // Zm00001d043048 // Zm00001d038667 // Zm00001d043989 // Zm00001d028615 // Zm00001d047596 // Zm00001d010534 // Zm00001d015300 // Zm00001d042470 
GO:0009057	P	macromolecule catabolic process	5	93	565	25864	0.054	0.41	// Zm00001d015376 // Zm00001d043989 // Zm00001d043048 // Zm00001d038671 // Zm00001d010534 
GO:0019538	P	protein metabolic process	22	93	4447	25864	0.07	0.51	// Zm00001d022342 // Zm00001d035263 // Zm00001d047604 // Zm00001d013799 // Zm00001d043048 // Zm00001d047596 // Zm00001d015376 // Zm00001d010529 // Zm00001d006248 // Zm00001d052680 // Zm00001d038667 // Zm00001d042475 // Zm00001d015301 // Zm00001d015300 // Zm00001d042470 // Zm00001d043989 // Zm00001d010534 // Zm00001d010530 // Zm00001d048345 // Zm00001d047262 // Zm00001d048346 // Zm00001d028615 
GO:0033036	P	macromolecule localization	5	93	633	25864	0.079	0.57	// Zm00001d016049 // Zm00001d043049 // Zm00001d048346 // Zm00001d002936 // Zm00001d030774 
GO:0016043	P	cellular component organization	8	93	1325	25864	0.11	0.75	// Zm00001d007043 // Zm00001d030773 // Zm00001d038671 // Zm00001d036177 // Zm00001d038667 // Zm00001d048346 // Zm00001d034505 // Zm00001d047596 
GO:0044248	P	cellular catabolic process	6	93	977	25864	0.14	0.97	// Zm00001d015376 // Zm00001d010534 // Zm00001d046492 // Zm00001d038671 // Zm00001d043048 // Zm00001d043989 
GO:0006412	P	translation	6	93	980	25864	0.14	0.97	// Zm00001d010530 // Zm00001d047262 // Zm00001d048346 // Zm00001d015301 // Zm00001d015300 // Zm00001d047596 
GO:0016310	P	phosphorylation	7	93	2119	25864	0.65	1	// Zm00001d022341 // Zm00001d015376 // Zm00001d030773 // Zm00001d047604 // Zm00001d048345 // Zm00001d006248 // Zm00001d042470 
GO:0044281	P	small molecule metabolic process	5	93	2372	25864	0.94	1	// Zm00001d015376 // Zm00001d038668 // Zm00001d024803 // Zm00001d038667 // Zm00001d010530 
GO:0051179	P	localization	10	93	2376	25864	0.35	1	// Zm00001d053143 // Zm00001d046661 // Zm00001d002936 // Zm00001d030774 // Zm00001d016049 // Zm00001d043049 // Zm00001d038576 // Zm00001d034505 // Zm00001d044480 // Zm00001d048346 
GO:0023052	P	signaling	5	93	1058	25864	0.33	1	// Zm00001d047595 // Zm00001d011588 // Zm00001d047597 // Zm00001d048345 // Zm00001d046500 
GO:0006508	P	proteolysis	5	93	946	25864	0.25	1	// Zm00001d042475 // Zm00001d043989 // Zm00001d043048 // Zm00001d010534 // Zm00001d013799 
GO:0006996	P	organelle organization	5	93	799	25864	0.16	1	// Zm00001d030773 // Zm00001d036177 // Zm00001d034505 // Zm00001d038667 // Zm00001d048346 
GO:0006468	P	protein amino acid phosphorylation	5	93	1642	25864	0.71	1	// Zm00001d015376 // Zm00001d047604 // Zm00001d048345 // Zm00001d042470 // Zm00001d006248 
GO:0043687	P	post-translational protein modification	9	93	2107	25864	0.35	1	// Zm00001d015376 // Zm00001d010534 // Zm00001d035263 // Zm00001d047604 // Zm00001d048345 // Zm00001d006248 // Zm00001d038667 // Zm00001d028615 // Zm00001d042470 
GO:0006810	P	transport	10	93	2313	25864	0.32	1	// Zm00001d053143 // Zm00001d046661 // Zm00001d002936 // Zm00001d030774 // Zm00001d016049 // Zm00001d043049 // Zm00001d038576 // Zm00001d034505 // Zm00001d044480 // Zm00001d048346 
GO:0006464	P	protein modification process	11	93	2263	25864	0.19	1	// Zm00001d015376 // Zm00001d022342 // Zm00001d035263 // Zm00001d010534 // Zm00001d047604 // Zm00001d048345 // Zm00001d006248 // Zm00001d052680 // Zm00001d038667 // Zm00001d028615 // Zm00001d042470 
GO:0006950	P	response to stress	6	93	2243	25864	0.83	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d007042 // Zm00001d046500 // Zm00001d036181 // Zm00001d038667 
GO:0008152	P	metabolic process	51	93	13125	25864	0.25	1	// Zm00001d022341 // Zm00001d035266 // Zm00001d007043 // Zm00001d022342 // Zm00001d035263 // Zm00001d046491 // Zm00001d036181 // Zm00001d047604 // Zm00001d038671 // Zm00001d013799 // Zm00001d043048 // Zm00001d048345 // Zm00001d044053 // Zm00001d024803 // Zm00001d047595 // Zm00001d039758 // Zm00001d047596 // Zm00001d046492 // Zm00001d015376 // Zm00001d010529 // Zm00001d006248 // Zm00001d039763 // Zm00001d052680 // Zm00001d007042 // Zm00001d004388 // Zm00001d020744 // Zm00001d011590 // Zm00001d038668 // Zm00001d030773 // Zm00001d039762 // Zm00001d038667 // Zm00001d042475 // Zm00001d042474 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d042470 // Zm00001d043989 // Zm00001d024805 // Zm00001d024813 // Zm00001d010534 // Zm00001d024350 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 // Zm00001d028615 // Zm00001d022367 
GO:0042221	P	response to chemical stimulus	5	93	2052	25864	0.87	1	// Zm00001d015376 // Zm00001d011588 // Zm00001d047595 // Zm00001d048345 // Zm00001d010529 
GO:0051234	P	establishment of localization	10	93	2322	25864	0.32	1	// Zm00001d053143 // Zm00001d046661 // Zm00001d002936 // Zm00001d030774 // Zm00001d016049 // Zm00001d043049 // Zm00001d038576 // Zm00001d034505 // Zm00001d044480 // Zm00001d048346 
GO:0009056	P	catabolic process	6	93	1104	25864	0.21	1	// Zm00001d015376 // Zm00001d010534 // Zm00001d046492 // Zm00001d038671 // Zm00001d043048 // Zm00001d043989 
GO:0010033	P	response to organic substance	5	93	1030	25864	0.31	1	// Zm00001d015376 // Zm00001d011588 // Zm00001d047595 // Zm00001d048345 // Zm00001d010529 
GO:0044238	P	primary metabolic process	41	93	9990	25864	0.17	1	// Zm00001d035266 // Zm00001d007043 // Zm00001d022342 // Zm00001d035263 // Zm00001d036181 // Zm00001d047604 // Zm00001d038671 // Zm00001d013799 // Zm00001d043048 // Zm00001d048345 // Zm00001d044053 // Zm00001d047595 // Zm00001d039758 // Zm00001d047596 // Zm00001d015376 // Zm00001d010529 // Zm00001d006248 // Zm00001d024813 // Zm00001d052680 // Zm00001d007042 // Zm00001d024805 // Zm00001d011590 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d042475 // Zm00001d015301 // Zm00001d015300 // Zm00001d042470 // Zm00001d043989 // Zm00001d010534 // Zm00001d024350 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 // Zm00001d028615 // Zm00001d022367 
GO:0050896	P	response to stimulus	9	93	3551	25864	0.91	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d036181 // Zm00001d046500 // Zm00001d048345 // Zm00001d038667 // Zm00001d011588 // Zm00001d007042 // Zm00001d047595 
GO:0043412	P	macromolecule modification	11	93	2387	25864	0.24	1	// Zm00001d015376 // Zm00001d022342 // Zm00001d035263 // Zm00001d010534 // Zm00001d047604 // Zm00001d048345 // Zm00001d006248 // Zm00001d052680 // Zm00001d038667 // Zm00001d028615 // Zm00001d042470 
GO:0006796	P	phosphate metabolic process	9	93	2278	25864	0.44	1	// Zm00001d022341 // Zm00001d015376 // Zm00001d035263 // Zm00001d030773 // Zm00001d047604 // Zm00001d048345 // Zm00001d006248 // Zm00001d042470 // Zm00001d028615 
GO:0006793	P	phosphorus metabolic process	9	93	2279	25864	0.44	1	// Zm00001d022341 // Zm00001d015376 // Zm00001d035263 // Zm00001d030773 // Zm00001d047604 // Zm00001d048345 // Zm00001d006248 // Zm00001d042470 // Zm00001d028615 
GO:0003723	F	RNA binding	8	93	606	25864	0.0016	0.2	// Zm00001d020748 // Zm00001d025278 // Zm00001d039762 // Zm00001d038671 // Zm00001d030774 // Zm00001d015300 // Zm00001d039758 // Zm00001d013812 
GO:0000166	F	nucleotide binding	14	93	4586	25864	0.79	1	// Zm00001d022341 // Zm00001d015376 // Zm00001d010534 // Zm00001d010532 // Zm00001d010529 // Zm00001d042470 // Zm00001d036181 // Zm00001d048345 // Zm00001d006248 // Zm00001d052992 // Zm00001d038576 // Zm00001d004388 // Zm00001d024990 // Zm00001d010530 
GO:0016740	F	transferase activity	11	93	4374	25864	0.93	1	// Zm00001d015376 // Zm00001d009856 // Zm00001d038668 // Zm00001d039763 // Zm00001d047604 // Zm00001d048345 // Zm00001d006248 // Zm00001d024803 // Zm00001d052680 // Zm00001d039385 // Zm00001d042470 
