"ASV" "Pi" "sd_pi" "S" "sd_S" "hsq" "sd_hsq" "tax_group"
"30" "asv_000369" 0.002033 0.001713 -0.246695 0.820517 0.143371 0.188188 "Sphingobacterium siyangense-multivorum"
"31" "asv_000396" 0.002174 0.00201 -0.890959 0.787926 0.394873 0.300542 "Mesorhizobium huakuii"
"32" "asv_000406" 0.002737 0.00195 -0.932488 0.626868 0.575617 0.262271 "Massilia niabensis"
"33" "asv_000431" 0.003695 0.002315 0.06641 0.549525 0.425352 0.172717 "f_Vicinamibacteraceae"
"34" "asv_000470" 0.001296 0.00139 0.087161 0.82864 0.068137 0.106163 "Dyadobacter fermentans 3"
"35" "asv_000473" 0.001759 0.001765 -1.308742 0.609221 0.65947 0.247822 "Streptomyces puniciscabiei-clavuligerus"
"36" "asv_000487" 0.002753 0.002165 -0.096455 0.725689 0.200579 0.179681 "Achromobacter insolitus"
"37" "asv_000492" 0.001343 0.001231 0.103335 0.87371 0.0618 0.106664 "Catenulispora acidiphila"
"38" "asv_000498" 0.002299 0.001819 0.028409 0.7322 0.174712 0.159062 "Stenotrophomonas tumulicola"
"39" "asv_000511" 0.001793 0.001792 -0.085245 0.939126 0.123659 0.190791 "Marmoricola"
"40" "asv_000529" 0.00345 0.002227 -0.531097 0.684328 0.552412 0.241889 "Burkholderia oklahomensis"
"41" "asv_000544" 0.003335 0.0019 -0.023964 0.619675 0.419628 0.188078 "Rhizobium daejeonense"
"42" "asv_000549" 0.002334 0.001831 -0.982497 0.531814 0.694876 0.187188 "Amycolatopsis mediterranei"
"43" "asv_000551" 0.002918 0.002 -0.113833 0.693752 0.342537 0.218216 "Bacillus aryabhattai"
"44" "asv_000552" 0.003996 0.002239 -0.033265 0.57831 0.651429 0.156184 "f_Nitrososphaeraceae Unknown Genus 1"
"45" "asv_000570" 0.003565 0.002338 0.002927 0.608635 0.317883 0.197658 "RB41 sp 2"
"46" "asv_000575" 0.002147 0.001779 -0.201016 0.682965 0.231297 0.180297 "RB41 sp 1"
"47" "asv_000596" 0.003571 0.002269 -0.343079 0.627444 0.457238 0.213957 "Rhodoplanes"
"48" "asv_000629" 0.00173 0.001666 0.034334 0.859348 0.057817 0.104451 "Dyadobacter fermentans 1"
"49" "asv_000669" 0.001362 0.001431 0.226648 0.874828 0.03438 0.076868 "Nocardioides"
"50" "asv_000672" 0.003118 0.002274 0.095498 0.67155 0.27121 0.203414 "f_Chitinophagaceae Unknown Genus"
"51" "asv_000711" 0.001341 0.001332 -0.105476 1.049114 0.118675 0.205227 "Niastella"
"52" "asv_000719" 0.00327 0.002057 -0.715583 0.414106 0.785873 0.10946 "Terriglobus"
"53" "asv_000860" 0.001456 0.001442 0.20045 0.834969 0.03809 0.063845 "Skermanella"
"54" "asv_000862" 0.003534 0.002194 -0.121761 0.578545 0.652903 0.151635 "f_A21b"
"55" "asv_000896" 0.001606 0.001658 0.089113 0.850216 0.05059 0.085577 "Knoellia-Lapillicoccus"
"56" "asv_000906" 0.001416 0.001515 0.039915 0.861882 0.068252 0.108289 "Chthoniobacter flavus"
"57" "asv_000920" 0.00228 0.001995 -0.389343 0.917949 0.335882 0.282275 "Rudaea"
"58" "asv_000986" 0.003295 0.002338 -0.450057 0.629036 0.483534 0.231532 "Rhizobium phaseoli-multihospitium-favelukesii"
"59" "asv_001001" 0.003699 0.002251 0.000629 0.520316 0.368102 0.177871 "Parafilimonas"
"60" "asv_001011" 0.003118 0.002021 -0.359183 0.644067 0.34124 0.191474 "Acidothermus"
"61" "asv_001057" 0.001246 0.00125 0.304179 0.858689 0.062075 0.102138 "Pseudomonas sp 1"
"62" "asv_001063" 0.001756 0.00174 -0.167128 0.869857 0.14645 0.204136 "Pseudonocardia"
"63" "asv_001073" 0.001305 0.001294 -0.155227 1.058054 0.145988 0.218276 "Kitasatospora setae"
"64" "asv_001085" 0.002046 0.001849 -0.229821 0.761255 0.192258 0.198003 "f_JG30-KF-AS9"
"65" "asv_001167" 9.6e-05 9.6e-05 -2.320408 0.346052 0.842785 0.093151 "Chitinophaga polysaccharea"
"66" "asv_001169" 0.001645 0.001511 -0.097186 0.911302 0.114778 0.169503 "Mycobacterium"
"67" "asv_001183" 0.001743 0.001621 0.056308 0.901637 0.104568 0.161858 "Chitinophaga ginsengihumi"
"68" "asv_001204" 0.002694 0.00221 -0.030977 0.727293 0.169868 0.163448 "Candidatus Nitrocosmicus oleophilus"
"69" "asv_001207" 0.00177 0.001745 -0.097275 0.936231 0.121494 0.201703 "f_Blastocatellaceae Unknown Genus"
"70" "asv_001232" 0.001651 0.001531 0.098358 0.838085 0.080091 0.131607 "Luteolibacter pohnpeiensis"
"71" "asv_001234" 0.002721 0.002002 -0.347048 0.694762 0.32536 0.243707 "Conexibacter"
"72" "asv_001244" 0.001596 0.001535 -0.142615 0.894405 0.081622 0.146188 "Galbitalea"
"73" "asv_001255" 0.003672 0.002363 0.042268 0.603283 0.428202 0.184217 "Nitrospira japonica"
"74" "asv_001292" 0.001742 0.001723 -0.047375 0.851197 0.111917 0.176922 "Piscinibacter"
"75" "asv_001294" 0.002738 0.002074 -0.615787 0.635986 0.390074 0.233288 "Chitinophaga sancti"
"76" "asv_001303" 0.003509 0.002127 0.008503 0.543297 0.552764 0.174108 "Oryzihumus terrae"
"77" "asv_001312" 0.001467 0.00154 0.243917 0.784288 0.040501 0.062567 "Aridibacter"
"78" "asv_001319" 0.003271 0.002234 -0.432932 0.710592 0.545758 0.246354 "Chryseobacterium taiwanense"
"79" "asv_001323" 0.001978 0.001765 -0.680171 0.811955 0.402931 0.265019 "Niabella yanshanensis"
"80" "asv_001347" 0.00139 0.001442 0.209323 0.906787 0.02678 0.058772 "Cellulomonas aerilata"
"81" "asv_001370" 0.001198 0.00124 0.109668 0.827085 0.031743 0.05842 "Massilia violaceinigra"
"82" "asv_001416" 0.002179 0.001865 -0.715563 0.733798 0.465986 0.281068 "Pseudomonas umsongensis"
"83" "asv_001444" 0.001699 0.001815 0.160269 0.757697 0.036349 0.060561 "Gaiella"
"84" "asv_001446" 0.001531 0.001618 -0.027605 0.859298 0.058992 0.105902 "Archangium gephyra"
"85" "asv_001461" 0.001517 0.001467 -0.061719 0.917108 0.127939 0.190756 "Duganella zoogloeoides"
"86" "asv_001499" 0.001644 0.001634 0.076721 0.834918 0.089283 0.139612 "Burkholderia insecticola"
"87" "asv_001529" 0.000115 0.000515 -2.340133 0.388584 0.904881 0.101564 "Pseudomonas chlororaphis"
"88" "asv_001532" 0.001764 0.001516 -0.583432 0.842596 0.267237 0.27605 "Paraburkholderia caffeinilytica"
"89" "asv_001572" 0.001357 0.001391 0.104038 0.842355 0.051072 0.099829 "Filimonas sp 1"
"90" "asv_001582" 0.001415 0.001416 0.039711 0.808873 0.045546 0.079857 "Ilumatobacter"
"91" "asv_001657" 0.002917 0.002256 -0.716603 0.682175 0.604204 0.258984 "f_Sphingobacteriaceae Unknown Genus"
"92" "asv_001660" 0.002244 0.00192 -0.114883 0.767109 0.141518 0.174522 "Pajaroellobacter"
"93" "asv_001667" 0.002143 0.001726 0.042802 0.717431 0.103555 0.119347 "Blastococcus"
"94" "asv_001749" 0.002722 0.002138 -0.253574 0.847288 0.306507 0.272652 "Arenimonas"
"95" "asv_001772" 0.003003 0.001914 -0.468558 0.487661 0.391888 0.203972 "Gemmatimonas"
"96" "asv_001806" 0.001766 0.001711 -0.179601 0.800772 0.117091 0.161793 "Mucilaginibacter ximonensis"
"97" "asv_001834" 0.001389 0.001349 0.205653 0.941731 0.056649 0.109484 "Herbaspirillum huttiense"
"98" "asv_001875" 0.00085 0.001317 -1.32041 1.042297 0.418172 0.246555 "TM7a sp 1"
"99" "asv_001888" 0.000188 0.000698 -2.366946 0.658302 0.904302 0.204365 "Chryseobacterium sp 1"
"100" "asv_001948" 0.001476 0.001441 -0.062415 0.942386 0.090392 0.157468 "Bacillus anthracis"
"101" "asv_001978" 0.000311 0.001044 -2.178849 0.895913 0.883842 0.275313 "Salmonella bongori"
"102" "asv_001993" 0.002068 0.001781 0.090549 0.770318 0.105804 0.131442 "Steroidobacter"
"103" "asv_002018" 0.00281 0.00204 -0.50867 0.701093 0.342628 0.289328 "Pelomonas saccharophila"
"104" "asv_002138" 0.001177 0.001326 -0.045268 1.03681 0.059875 0.150316 "Duganella radicis"
"105" "asv_002172" 0.001153 0.001373 -0.419259 1.271082 0.266966 0.371086 "Streptomyces sp 1"
"106" "asv_002205" 0.001315 0.001311 0.039653 0.81216 0.086554 0.128273 "Acidibacter"
"107" "asv_002353" 0.001186 0.00157 -0.685198 1.410045 0.25502 0.279371 "Chitinophaga pinensis"
"108" "asv_002354" 0.00135 0.001321 0.136388 0.967496 0.06099 0.128993 "Methylobacterium brachiatum"
"109" "asv_002358" 0.002752 0.002069 -0.790258 0.567057 0.550687 0.231208 "f_WD2101 soil group"
"110" "asv_002692" 0.000117 0.000496 -2.30767 0.510331 0.928818 0.139288 "Flavobacterium anatoliense"
"111" "asv_002742" 0.001333 0.001273 0.129344 0.874566 0.049128 0.094765 "Taibaiella chishuiensis"
"112" "asv_002743" 0.001704 0.001651 -0.016069 0.843059 0.079218 0.130526 "Chitinophaga filiformis"
"113" "asv_002780" 0.00249 0.001853 -0.452086 0.709169 0.350549 0.269365 "Ellin6067"
"114" "asv_002796" 0.001551 0.001492 -0.016534 0.861387 0.057534 0.106186 "Filimonas sp 2"
"115" "asv_002841" 0.000118 0.000414 -2.309282 0.522603 0.593204 0.205099 "Delftia tsuruhatensis"
"116" "asv_002995" 0.001601 0.001407 -0.643786 0.925072 0.331949 0.30262 "Burkholderia sp 1"
"117" "asv_003033" 6.2e-05 0.00019 -2.331809 0.418263 0.953027 0.077269 "Luteibacter yeojuensis"
"118" "asv_003343" 0.001354 0.001479 0.225599 0.922027 0.036083 0.084441 "Arthrobacter ramosus"
"119" "asv_004558" 0.001601 0.001604 -0.075036 0.923235 0.091258 0.147169 "f_Nitrososphaeraceae Unknown Genus 2"
"120" "asv_004714" 0.001123 0.001142 0.225955 0.867125 0.038808 0.073391 "Acinetobacter bouvetii"
