"ASV"	"Pi"	"sd_pi"	"S"	"sd_S"	"hsq"	"sd_hsq"	"tax_group"
"42"	"asv_000559"	0.004095	0.003057	-0.730451	0.519441	0.613648	0.242676	"f_Sphingomonadaceae Unknown Genus"
"43"	"asv_000570"	0.004815	0.002921	-0.215405	0.53451	0.395401	0.178377	"RB41 sp 2"
"44"	"asv_000575"	0.002501	0.002495	-0.068021	0.853328	0.108901	0.14516	"RB41 sp 1"
"45"	"asv_000596"	0.002886	0.002782	0.04203	0.779457	0.082243	0.114152	"Rhodoplanes"
"46"	"asv_000629"	0.002083	0.002266	0.163608	0.877011	0.04123	0.069678	"Dyadobacter fermentans 1"
"47"	"asv_000641"	0.002872	0.002712	-0.128264	0.864961	0.135516	0.180886	"Sphingomonas mali"
"48"	"asv_000672"	0.002556	0.002313	0.137508	1.041143	0.107038	0.166109	"f_Chitinophagaceae Unknown Genus"
"49"	"asv_000674"	0.001864	0.001949	0.212541	0.797358	0.031036	0.050023	"Solirubrobacter"
"50"	"asv_000719"	0.002832	0.002416	-0.135578	0.904727	0.158287	0.214258	"Terriglobus"
"51"	"asv_000791"	0.002607	0.002442	-0.180149	0.839881	0.211776	0.219992	"Rhizobium mesosinicum"
"52"	"asv_000860"	0.00316	0.002719	-0.67183	0.842921	0.373087	0.305003	"Skermanella"
"53"	"asv_000862"	0.003306	0.002684	-0.161111	0.749877	0.276173	0.234393	"f_A21b"
"54"	"asv_000896"	0.003079	0.002966	-0.08631	0.791006	0.126474	0.162197	"Knoellia-Lapillicoccus"
"55"	"asv_000906"	0.001885	0.001863	-0.036064	0.86192	0.080982	0.125547	"Chthoniobacter flavus"
"56"	"asv_000920"	0.003704	0.002884	-0.3478	0.703166	0.318983	0.268493	"Rudaea"
"57"	"asv_000986"	0.0021	0.002109	0.197033	0.878263	0.054006	0.093745	"Rhizobium phaseoli-multihospitium-favelukesii"
"58"	"asv_001001"	0.002389	0.002288	-0.008714	0.875142	0.066313	0.118432	"Parafilimonas"
"59"	"asv_001011"	0.002336	0.002459	0.100408	0.838192	0.074466	0.117128	"Acidothermus"
"60"	"asv_001026"	0.00217	0.00222	0.06445	0.888545	0.059806	0.108783	"Chryseobacterium jejuense"
"61"	"asv_001052"	0.001678	0.002005	-0.821275	1.220703	0.327309	0.309865	"Chryseobacterium indologenes"
"62"	"asv_001057"	0.002144	0.002117	0.065221	0.780506	0.047443	0.075983	"Pseudomonas sp 1"
"63"	"asv_001140"	0.0019	0.001981	0.025766	0.896341	0.056134	0.116646	"Flavisolibacter-Puia"
"64"	"asv_001141"	0.000476	0.001724	-2.432624	0.886373	0.86996	0.273265	"Chryseobacterium joostei"
"65"	"asv_001167"	0.003299	0.002786	-0.524259	0.772035	0.310313	0.274849	"Chitinophaga polysaccharea"
"66"	"asv_001169"	0.002485	0.00227	-0.371841	0.902589	0.191995	0.234644	"Mycobacterium"
"67"	"asv_001207"	0.002289	0.002132	-0.098568	0.851914	0.127723	0.176903	"f_Blastocatellaceae Unknown Genus"
"68"	"asv_001232"	0.002125	0.002123	-0.054402	0.884457	0.079336	0.126722	"Luteolibacter pohnpeiensis"
"69"	"asv_001244"	0.003196	0.00275	-0.53903	0.825082	0.262997	0.260693	"Galbitalea"
"70"	"asv_001255"	0.00306	0.002544	-0.474852	0.801145	0.250158	0.214645	"Nitrospira japonica"
"71"	"asv_001276"	0.003046	0.002622	-0.255961	0.855041	0.207027	0.222672	"Sphingomonas azotifigens-paucimobilis-leidyi"
"72"	"asv_001292"	0.002192	0.002014	0.201053	0.831444	0.049571	0.080501	"Piscinibacter"
"73"	"asv_001294"	0.001093	0.001423	0.754537	0.797843	0.00534	0.006063	"Chitinophaga sancti"
"74"	"asv_001303"	0.00257	0.002689	0.115913	0.871569	0.060659	0.103488	"Oryzihumus terrae"
"75"	"asv_001312"	0.002129	0.002134	0.041028	0.854401	0.054985	0.102276	"Aridibacter"
"76"	"asv_001319"	0.00218	0.002251	0.092634	0.805258	0.055998	0.096346	"Chryseobacterium taiwanense"
"77"	"asv_001323"	0.002857	0.002638	-0.123152	0.827989	0.113824	0.152905	"Niabella yanshanensis"
"78"	"asv_001347"	0.002363	0.002245	0.215618	0.799143	0.03598	0.07545	"Cellulomonas aerilata"
"79"	"asv_001416"	9.9e-05	0.000359	-2.593276	0.302959	0.956273	0.085393	"Pseudomonas umsongensis"
"80"	"asv_001444"	0.00196	0.001963	-0.050585	0.798992	0.079381	0.117671	"Gaiella"
"81"	"asv_001446"	0.002329	0.00224	0.005196	0.77015	0.068604	0.110169	"Archangium gephyra"
"82"	"asv_001448"	0.001932	0.002293	-0.150539	1.120135	0.103797	0.195868	"Pseudomonas mediterranea"
"83"	"asv_001499"	0.00271	0.002458	-0.062103	0.900405	0.096947	0.149052	"Burkholderia insecticola"
"84"	"asv_001507"	0.001479	0.001788	-0.10936	1.237031	0.125981	0.22015	"Stenotrophomonas maltophilia"
"85"	"asv_001529"	0.000432	0.00165	-2.550125	0.480689	0.938315	0.086814	"Pseudomonas chlororaphis"
"86"	"asv_001572"	0.001908	0.001986	0.188277	0.926306	0.05569	0.108164	"Filimonas sp 1"
"87"	"asv_001582"	0.002501	0.00245	0.248352	0.959187	0.071048	0.122268	"Ilumatobacter"
"88"	"asv_001649"	0.000154	0.000551	-2.560139	0.523056	0.881247	0.17405	"Chryseobacterium gleum"
"89"	"asv_001657"	0.002692	0.002647	-0.401985	0.935854	0.236785	0.264914	"f_Sphingobacteriaceae Unknown Genus"
"90"	"asv_001659"	8.5e-05	0.000151	-2.588035	0.363907	0.863755	0.091366	"Pseudomonas thivervalensis"
"91"	"asv_001660"	0.002788	0.002515	-0.154952	0.828093	0.138403	0.201211	"Pajaroellobacter"
"92"	"asv_001667"	0.001853	0.001748	0.077171	0.816261	0.029673	0.065414	"Blastococcus"
"93"	"asv_001749"	0.002484	0.002305	-0.05135	0.908557	0.115611	0.1835	"Arenimonas"
"94"	"asv_001772"	0.002349	0.002284	-0.175324	0.908763	0.094673	0.141093	"Gemmatimonas"
"95"	"asv_001806"	0.002704	0.002432	-0.61351	0.743578	0.289193	0.272198	"Mucilaginibacter ximonensis"
"96"	"asv_001834"	0.001201	0.001858	-1.040397	1.408302	0.392647	0.363902	"Herbaspirillum huttiense"
"97"	"asv_001840"	0.002351	0.002241	-0.014989	0.813032	0.079022	0.130733	"Pseudomonas citronellolis"
"98"	"asv_001875"	0.002211	0.002058	0.252014	0.765845	0.043459	0.064	"TM7a sp 1"
"99"	"asv_001888"	0.000906	0.001552	-1.193031	1.57216	0.462661	0.404077	"Chryseobacterium sp 1"
"100"	"asv_001978"	6.3e-05	1.5e-05	-2.522615	0.221156	0.945671	0.01509	"Salmonella bongori"
"101"	"asv_002136"	0.001324	0.001809	-0.909959	1.24238	0.22905	0.254492	"Pedobacter agri"
"102"	"asv_002138"	0.000604	0.000918	1.017751	0.847999	0.00724	0.00735	"Duganella radicis"
"103"	"asv_002166"	0.002373	0.002295	-0.376262	1.047588	0.225931	0.257702	"f_Xanthomonadaceae Unknown Genus"
"104"	"asv_002172"	0.002234	0.002192	0.088114	0.8967	0.045466	0.083838	"Streptomyces sp 1"
"105"	"asv_002205"	0.002108	0.002091	-0.03841	0.804834	0.056829	0.106429	"Acidibacter"
"106"	"asv_002309"	0.000108	0.000331	-2.460327	0.573782	0.889313	0.160635	"Dyadobacter fermentans 2"
"107"	"asv_002353"	0.002052	0.002305	-0.210421	1.151858	0.162174	0.238097	"Chitinophaga pinensis"
"108"	"asv_002354"	0.002923	0.002439	-0.416225	0.807416	0.303012	0.261255	"Methylobacterium brachiatum"
"109"	"asv_002358"	0.00397	0.002569	-0.867293	0.488451	0.65566	0.195848	"f_WD2101 soil group"
"110"	"asv_002692"	8e-05	3.4e-05	-2.513856	0.279133	0.830733	0.07032	"Flavobacterium anatoliense"
"111"	"asv_002742"	0.002025	0.001934	0.15898	0.786371	0.020821	0.035977	"Taibaiella chishuiensis"
"112"	"asv_002743"	0.000499	0.00117	-1.871669	1.10997	0.490444	0.260528	"Chitinophaga filiformis"
"113"	"asv_002768"	0.000351	0.001408	-2.461765	0.709234	0.88809	0.206764	"Neorhizobium"
"114"	"asv_002780"	6.5e-05	1.3e-05	-2.570807	0.216128	0.970392	0.006186	"Ellin6067"
"115"	"asv_002841"	0.000363	0.001074	-2.187683	1.144977	0.758216	0.321228	"Delftia tsuruhatensis"
"116"	"asv_003033"	0.00291	0.002608	-0.504896	0.864928	0.316105	0.266982	"Luteibacter yeojuensis"
"117"	"asv_003250"	0.001632	0.001772	-0.560598	1.217846	0.269634	0.287258	"Bryobacter"
"118"	"asv_003343"	0.000374	0.000988	-2.085068	1.033789	0.623785	0.264618	"Arthrobacter ramosus"
"119"	"asv_004447"	0.001391	0.001973	-0.626532	1.534682	0.271274	0.322555	"Variovorax soli"
"120"	"asv_004714"	0.002026	0.002015	0.096622	0.784853	0.054715	0.091721	"Acinetobacter bouvetii"
"121"	"asv_014370"	0.000102	0.000559	-2.530851	0.344002	0.948603	0.102346	"Burkholderia sp 3"
