Mean,SD,par,file,trait
-1.691438,1.221558,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000031.parRes,asv_000031
0.169294,0.214991,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000031.parRes,asv_000031
2.410916,0.228043,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000031.parRes,asv_000031
0.934253,0.083509,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000031.parRes,asv_000031
0.000605,0.000604,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000041.parRes,asv_000041
503.973907,503.559875,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000041.parRes,asv_000041
6e-06,8e-06,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000041.parRes,asv_000041
0.20264,0.824493,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000041.parRes,asv_000041
0.005769,0.000912,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000041.parRes,asv_000041
0.000528,0.000717,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000041.parRes,asv_000041
0.083718,0.112591,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000041.parRes,asv_000041
0.000824,0.000731,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000059.parRes,asv_000059
686.862122,610.203857,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000059.parRes,asv_000059
1e-05,1.3e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000059.parRes,asv_000059
0.334934,0.685808,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000059.parRes,asv_000059
0.004341,0.000754,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000059.parRes,asv_000059
0.000635,0.000627,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000059.parRes,asv_000059
0.127499,0.124255,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000059.parRes,asv_000059
0.001129,0.000875,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000077.parRes,asv_000077
941.963379,729.946899,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000077.parRes,asv_000077
3.6e-05,5.4e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000077.parRes,asv_000077
-0.530114,0.596627,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000077.parRes,asv_000077
0.022354,0.009179,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000077.parRes,asv_000077
0.014156,0.009122,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000077.parRes,asv_000077
0.386822,0.245042,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000077.parRes,asv_000077
0.000663,0.000611,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000095.parRes,asv_000095
552.964539,509.445068,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000095.parRes,asv_000095
2.1e-05,3.3e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000095.parRes,asv_000095
-0.003813,0.814348,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000095.parRes,asv_000095
0.036713,0.0063,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000095.parRes,asv_000095
0.003591,0.005189,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000095.parRes,asv_000095
0.089027,0.127426,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000095.parRes,asv_000095
0.000655,0.000647,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000112.parRes,asv_000112
545.702087,539.846191,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000112.parRes,asv_000112
6e-06,1.3e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000112.parRes,asv_000112
0.294046,0.767208,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000112.parRes,asv_000112
0.006608,0.000908,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000112.parRes,asv_000112
0.000428,0.000624,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000112.parRes,asv_000112
0.060932,0.088176,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000112.parRes,asv_000112
0.001104,0.000801,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000155.parRes,asv_000155
920.424011,668.239868,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000155.parRes,asv_000155
3e-06,4e-06,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000155.parRes,asv_000155
-0.534951,0.494126,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000155.parRes,asv_000155
0.000683,0.000399,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000155.parRes,asv_000155
0.000892,0.000404,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000155.parRes,asv_000155
0.565245,0.25114,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000155.parRes,asv_000155
0.000746,0.000702,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000160.parRes,asv_000160
621.994324,585.077148,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000160.parRes,asv_000160
2e-06,3e-06,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000160.parRes,asv_000160
0.180446,0.805975,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000160.parRes,asv_000160
0.003952,0.000578,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000160.parRes,asv_000160
0.000251,0.000422,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000160.parRes,asv_000160
0.059637,0.099347,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000160.parRes,asv_000160
0.000591,0.000619,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000162.parRes,asv_000162
492.979889,516.062805,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000162.parRes,asv_000162
3.4e-05,4.5e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000162.parRes,asv_000162
0.404113,0.744886,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000162.parRes,asv_000162
0.019914,0.002915,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000162.parRes,asv_000162
0.001583,0.002164,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000162.parRes,asv_000162
0.073571,0.099402,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000162.parRes,asv_000162
0.001079,0.000877,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000183.parRes,asv_000183
899.39447,731.2854,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000183.parRes,asv_000183
8.9e-05,0.000163,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000183.parRes,asv_000183
0.059533,0.719043,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000183.parRes,asv_000183
0.023533,0.007478,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000183.parRes,asv_000183
0.008809,0.007228,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000183.parRes,asv_000183
0.271878,0.219767,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000183.parRes,asv_000183
0.00076,0.00075,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000189.parRes,asv_000189
633.837524,626.210571,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000189.parRes,asv_000189
4e-06,6e-06,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000189.parRes,asv_000189
0.105174,0.778181,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000189.parRes,asv_000189
0.004429,0.000795,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000189.parRes,asv_000189
0.000479,0.000665,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000189.parRes,asv_000189
0.097641,0.134246,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000189.parRes,asv_000189
0.00092,0.000762,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000191.parRes,asv_000191
767.110779,636.08313,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000191.parRes,asv_000191
5.2e-05,8.7e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000191.parRes,asv_000191
0.27257,0.727325,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000191.parRes,asv_000191
0.020496,0.004183,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000191.parRes,asv_000191
0.003871,0.003683,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000191.parRes,asv_000191
0.158868,0.149217,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000191.parRes,asv_000191
0.00077,0.000648,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000196.parRes,asv_000196
641.807983,540.773743,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000196.parRes,asv_000196
1.8e-05,2e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000196.parRes,asv_000196
0.57107,0.648327,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000196.parRes,asv_000196
0.002963,0.00059,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000196.parRes,asv_000196
0.000632,0.000519,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000196.parRes,asv_000196
0.175657,0.142167,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000196.parRes,asv_000196
0.00075,0.000693,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000217.parRes,asv_000217
625.519775,578.614136,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000217.parRes,asv_000217
6e-06,7e-06,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000217.parRes,asv_000217
0.208502,0.854152,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000217.parRes,asv_000217
0.005631,0.001042,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000217.parRes,asv_000217
0.000642,0.000892,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000217.parRes,asv_000217
0.102177,0.140413,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000217.parRes,asv_000217
0.000835,0.000735,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000237.parRes,asv_000237
696.748413,613.316895,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000237.parRes,asv_000237
5.6e-05,7.6e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000237.parRes,asv_000237
0.033227,0.649007,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000237.parRes,asv_000237
0.020782,0.006152,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000237.parRes,asv_000237
0.006077,0.005838,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000237.parRes,asv_000237
0.226095,0.214899,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000237.parRes,asv_000237
0.000911,0.000757,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000241.parRes,asv_000241
759.278503,631.305603,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000241.parRes,asv_000241
1e-06,2e-06,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000241.parRes,asv_000241
-0.136606,0.726801,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000241.parRes,asv_000241
0.000688,0.000207,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000241.parRes,asv_000241
0.000216,0.000198,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000241.parRes,asv_000241
0.238689,0.21654,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000241.parRes,asv_000241
0.00056,0.000569,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000246.parRes,asv_000246
466.194489,474.37262,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000246.parRes,asv_000246
3e-05,5.7e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000246.parRes,asv_000246
0.492386,0.807557,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000246.parRes,asv_000246
0.030354,0.00335,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000246.parRes,asv_000246
0.001098,0.001508,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000246.parRes,asv_000246
0.034883,0.047319,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000246.parRes,asv_000246
0.000917,0.000757,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000251.parRes,asv_000251
764.767822,631.468933,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000251.parRes,asv_000251
2.6e-05,3.8e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000251.parRes,asv_000251
0.174897,0.755612,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000251.parRes,asv_000251
0.011424,0.002914,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000251.parRes,asv_000251
0.002651,0.002704,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000251.parRes,asv_000251
0.188244,0.189633,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000251.parRes,asv_000251
0.001028,0.000874,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000260.parRes,asv_000260
857.141907,729.092651,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000260.parRes,asv_000260
3.8e-05,7.7e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000260.parRes,asv_000260
-0.133165,0.726174,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000260.parRes,asv_000260
0.022249,0.006736,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000260.parRes,asv_000260
0.007109,0.00644,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000260.parRes,asv_000260
0.241857,0.216235,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000260.parRes,asv_000260
0.000908,0.000769,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000272.parRes,asv_000272
757.464539,641.581299,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000272.parRes,asv_000272
3.1e-05,4.5e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000272.parRes,asv_000272
-0.125157,0.767307,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000272.parRes,asv_000272
0.025275,0.006928,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000272.parRes,asv_000272
0.006377,0.006508,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000272.parRes,asv_000272
0.201357,0.203131,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000272.parRes,asv_000272
0.000805,0.000713,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000281.parRes,asv_000281
671.745239,594.736267,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000281.parRes,asv_000281
1.2e-05,1.9e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000281.parRes,asv_000281
-0.141679,0.837425,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000281.parRes,asv_000281
0.011717,0.00349,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000281.parRes,asv_000281
0.002854,0.003308,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000281.parRes,asv_000281
0.19572,0.224946,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000281.parRes,asv_000281
0.000624,0.000679,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000294.parRes,asv_000294
519.614685,565.897461,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000294.parRes,asv_000294
9e-06,1.2e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000294.parRes,asv_000294
0.40921,0.812019,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000294.parRes,asv_000294
0.007758,0.00101,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000294.parRes,asv_000294
0.000486,0.000663,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000294.parRes,asv_000294
0.058877,0.079427,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000294.parRes,asv_000294
0.000905,0.000834,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000311.parRes,asv_000311
755.065308,696.268127,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000311.parRes,asv_000311
1e-06,2e-06,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000311.parRes,asv_000311
0.255279,0.72894,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000311.parRes,asv_000311
6e-04,0.00011,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000311.parRes,asv_000311
7.4e-05,9.2e-05,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000311.parRes,asv_000311
0.110548,0.135394,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000311.parRes,asv_000311
0.000726,0.000701,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000322.parRes,asv_000322
605.041687,584.697449,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000322.parRes,asv_000322
5.3e-05,6.9e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000322.parRes,asv_000322
0.287131,0.756245,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000322.parRes,asv_000322
0.021603,0.003937,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000322.parRes,asv_000322
0.003251,0.003356,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000322.parRes,asv_000322
0.130674,0.133196,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000322.parRes,asv_000322
0.001295,0.000947,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000330.parRes,asv_000330
1080.115356,789.852295,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000330.parRes,asv_000330
5.2e-05,8e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000330.parRes,asv_000330
-0.132623,0.676101,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000330.parRes,asv_000330
0.008902,0.004424,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000330.parRes,asv_000330
0.008082,0.004466,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000330.parRes,asv_000330
0.474494,0.257059,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000330.parRes,asv_000330
