Type,value,sd,file
GenVar,0.000757,0.001203,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000059.parRes
hsq,0.066144,0.10419,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000059.parRes
Pi,0.001385,0.001402,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000077.parRes
NnzSnp,1036.456543,1049.432861,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000077.parRes
SigmaSq,3e-06,4e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000077.parRes
S,0.153111,0.896478,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000077.parRes
ResVar,0.01088,0.001587,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000077.parRes
GenVar,0.000623,0.001155,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000077.parRes
hsq,0.054142,0.099591,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000077.parRes
Pi,0.0016,0.001444,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000095.parRes
NnzSnp,1197.448975,1081.656494,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000095.parRes
SigmaSq,1.1e-05,1.5e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000095.parRes
S,-0.068207,0.925237,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000095.parRes
ResVar,0.028869,0.006763,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000095.parRes
GenVar,0.004222,0.006138,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000095.parRes
hsq,0.127536,0.184009,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000095.parRes
Pi,0.003052,0.002436,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000112.parRes
NnzSnp,2285.935791,1824.327881,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000112.parRes
SigmaSq,1.7e-05,2.8e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000112.parRes
S,-0.702972,0.618156,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000112.parRes
ResVar,0.006764,0.00381,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000112.parRes
GenVar,0.010777,0.003899,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000112.parRes
hsq,0.613423,0.215155,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000112.parRes
Pi,0.002263,0.001906,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000155.parRes
NnzSnp,1694.263428,1427.425049,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000155.parRes
SigmaSq,3e-06,5e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000155.parRes
S,-0.676573,0.772819,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000155.parRes
ResVar,0.002102,0.001153,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000155.parRes
GenVar,0.001994,0.001155,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000155.parRes
hsq,0.48594,0.277366,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000155.parRes
Pi,0.001741,0.001761,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000162.parRes
NnzSnp,1303.160034,1318.698975,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000162.parRes
SigmaSq,5e-06,1.5e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000162.parRes
S,-0.048306,0.929969,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000162.parRes
ResVar,0.017934,0.003416,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000162.parRes
GenVar,0.001976,0.002914,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000162.parRes
hsq,0.099285,0.145238,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000162.parRes
Pi,0.004151,0.002266,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000183.parRes
NnzSnp,3108.747314,1696.350586,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000183.parRes
SigmaSq,0.000224,0.000241,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000183.parRes
S,0.438704,0.557265,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000183.parRes
ResVar,0.017904,0.006299,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000183.parRes
GenVar,0.041783,0.007271,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000183.parRes
hsq,0.699019,0.106462,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000183.parRes
Pi,0.001714,0.001647,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000189.parRes
NnzSnp,1283.295044,1233.439819,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000189.parRes
SigmaSq,0,0,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000189.parRes
S,-0.127535,0.979959,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000189.parRes
ResVar,0.000303,7e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000189.parRes
GenVar,4.4e-05,6.4e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000189.parRes
hsq,0.125973,0.183055,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000189.parRes
Pi,0.002324,0.001744,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000191.parRes
NnzSnp,1739.703369,1305.875,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000191.parRes
SigmaSq,1.5e-05,3.5e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000191.parRes
S,-0.082143,0.649361,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000191.parRes
ResVar,0.020114,0.00396,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000191.parRes
GenVar,0.003616,0.003492,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000191.parRes
hsq,0.152112,0.14456,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000191.parRes
Pi,0.002052,0.001902,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000196.parRes
NnzSnp,1535.803345,1424.550415,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000196.parRes
SigmaSq,2e-06,3e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000196.parRes
S,-0.066249,0.782324,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000196.parRes
ResVar,0.007051,0.001401,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000196.parRes
GenVar,0.000794,0.001222,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000196.parRes
hsq,0.101169,0.154076,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000196.parRes
Pi,0.001084,0.001251,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000217.parRes
NnzSnp,811.41272,937.344971,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000217.parRes
SigmaSq,6e-06,6.1e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000217.parRes
S,-0.858558,1.252616,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000217.parRes
ResVar,0.01225,0.006342,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000217.parRes
GenVar,0.006106,0.006258,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000217.parRes
hsq,0.33201,0.338121,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000217.parRes
Pi,0.003642,0.002337,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000237.parRes
NnzSnp,2726.539307,1749.272217,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000237.parRes
SigmaSq,4e-05,5.4e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000237.parRes
S,-0.218449,0.587329,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000237.parRes
ResVar,0.013857,0.006496,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000237.parRes
GenVar,0.014451,0.006648,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000237.parRes
hsq,0.508846,0.227543,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000237.parRes
Pi,0.001544,0.001326,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000245.parRes
NnzSnp,1156.081177,992.956299,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000245.parRes
SigmaSq,3e-06,4e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000245.parRes
S,-0.932931,1.013428,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000245.parRes
ResVar,0.01014,0.006331,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000245.parRes
GenVar,0.007914,0.006306,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000245.parRes
hsq,0.437449,0.346041,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000245.parRes
Pi,0.001361,0.001404,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000246.parRes
NnzSnp,1018.750183,1051.097046,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000246.parRes
SigmaSq,0,0,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000246.parRes
S,0.006657,0.928684,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000246.parRes
ResVar,0.001667,0.000267,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000246.parRes
GenVar,0.00012,0.000213,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000246.parRes
hsq,0.067049,0.117348,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000246.parRes
Pi,0.001549,0.001792,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000251.parRes
NnzSnp,1159.140625,1342.172729,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000251.parRes
SigmaSq,1e-06,2e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000251.parRes
S,0.067177,0.835496,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000251.parRes
ResVar,0.003877,0.000587,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000251.parRes
GenVar,0.000258,0.000442,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000251.parRes
hsq,0.062274,0.105955,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000251.parRes
Pi,0.000316,0.000643,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000260.parRes
NnzSnp,235.414825,481.382935,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000260.parRes
SigmaSq,9e-06,2e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000260.parRes
S,-1.919197,0.68597,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000260.parRes
ResVar,0.010088,0.005211,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000260.parRes
GenVar,0.014372,0.005344,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000260.parRes
hsq,0.586525,0.21148,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000260.parRes
Pi,0.002205,0.001637,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000272.parRes
NnzSnp,1651.358032,1225.603638,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000272.parRes
SigmaSq,4.5e-05,6.5e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000272.parRes
S,-0.864042,0.609718,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000272.parRes
ResVar,0.070346,0.033498,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000272.parRes
GenVar,0.051831,0.03352,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000272.parRes
hsq,0.423015,0.269378,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000272.parRes
Pi,0.000908,0.001321,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000281.parRes
NnzSnp,679.346619,989.421692,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000281.parRes
SigmaSq,5e-06,9e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000281.parRes
S,-1.631102,0.629609,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000281.parRes
ResVar,0.003075,0.001832,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000281.parRes
GenVar,0.006992,0.001916,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000281.parRes
hsq,0.693582,0.182211,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000281.parRes
Pi,0.001467,0.001531,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000294.parRes
NnzSnp,1097.864868,1145.878418,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000294.parRes
SigmaSq,1e-06,2e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000294.parRes
S,0.174333,0.827027,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000294.parRes
ResVar,0.003743,0.000464,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000294.parRes
GenVar,0.000155,0.000279,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000294.parRes
hsq,0.039839,0.070937,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000294.parRes
Pi,0.001457,0.001493,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000311.parRes
NnzSnp,1090.626709,1118.130615,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000311.parRes
SigmaSq,0,1e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000311.parRes
S,0.00826,0.891774,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000311.parRes
ResVar,0.002744,0.000445,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000311.parRes
GenVar,0.000164,0.000355,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000311.parRes
hsq,0.056441,0.120921,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000311.parRes
Pi,0.003346,0.002161,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000322.parRes
NnzSnp,2505.448242,1617.861816,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000322.parRes
SigmaSq,1.2e-05,2e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000322.parRes
S,-0.530538,0.563606,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000322.parRes
ResVar,0.003667,0.001778,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000322.parRes
GenVar,0.005973,0.001863,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000322.parRes
hsq,0.618292,0.184368,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000322.parRes
Pi,0.003605,0.002254,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000330.parRes
NnzSnp,2699.65332,1687.607666,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000330.parRes
SigmaSq,2.8e-05,4.2e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000330.parRes
S,-0.101328,0.57576,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/LN/Results_LN/asv_000330.parRes
