V1,V2,V3,file
hsq,0.433277,0.292297,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000155.parRes
Pi,0.002065,0.001967,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000160.parRes
NnzSnp,1545.953003,1473.468506,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000160.parRes
SigmaSq,1e-06,1e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000160.parRes
S,0.084943,0.898997,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000160.parRes
ResVar,0.00428,0.000689,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000160.parRes
GenVar,0.000311,0.00055,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000160.parRes
hsq,0.067703,0.118299,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000160.parRes
Pi,0.001922,0.001906,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000162.parRes
NnzSnp,1438.745483,1427.581665,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000162.parRes
SigmaSq,3e-06,4e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000162.parRes
S,0.210832,0.882142,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000162.parRes
ResVar,0.013882,0.001816,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000162.parRes
GenVar,0.000689,0.001201,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000162.parRes
hsq,0.047303,0.081628,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000162.parRes
Pi,0.003632,0.003086,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000183.parRes
NnzSnp,2720.091064,2311.280273,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000183.parRes
SigmaSq,1.4e-05,3.7e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000183.parRes
S,-0.091891,0.705239,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000183.parRes
ResVar,0.025255,0.006161,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000183.parRes
GenVar,0.005536,0.005671,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000183.parRes
hsq,0.17978,0.181806,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000183.parRes
Pi,0.001987,0.001878,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000189.parRes
NnzSnp,1487.847656,1406.099365,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000189.parRes
SigmaSq,2e-06,3e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000189.parRes
S,-0.010827,0.826661,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000189.parRes
ResVar,0.007842,0.001297,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000189.parRes
GenVar,0.000617,0.00103,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000189.parRes
hsq,0.073036,0.121124,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000189.parRes
Pi,0.002971,0.002551,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000191.parRes
NnzSnp,2224.325928,1910.875732,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000191.parRes
SigmaSq,8e-06,1.2e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000191.parRes
S,-0.067574,0.729036,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000191.parRes
ResVar,0.021991,0.00414,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000191.parRes
GenVar,0.003247,0.003606,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000191.parRes
hsq,0.128392,0.140514,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000191.parRes
Pi,0.002653,0.002382,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000196.parRes
NnzSnp,1987.141968,1783.902222,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000196.parRes
SigmaSq,1e-06,3e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000196.parRes
S,-0.011812,0.741882,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000196.parRes
ResVar,0.003491,0.000654,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000196.parRes
GenVar,0.000458,0.000557,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000196.parRes
hsq,0.116036,0.139797,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000196.parRes
Pi,0.002591,0.002394,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000217.parRes
NnzSnp,1940.316772,1793.307373,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000217.parRes
SigmaSq,1e-06,1e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000217.parRes
S,-0.295103,0.814283,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000217.parRes
ResVar,0.005119,0.001181,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000217.parRes
GenVar,0.000731,0.00107,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000217.parRes
hsq,0.125025,0.181459,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000217.parRes
Pi,0.00261,0.002685,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000237.parRes
NnzSnp,1954.060791,2010.822266,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000237.parRes
SigmaSq,6e-06,1e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000237.parRes
S,-0.069901,0.802249,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000237.parRes
ResVar,0.022733,0.004725,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000237.parRes
GenVar,0.002879,0.004171,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000237.parRes
hsq,0.11242,0.161651,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000237.parRes
Pi,0.001784,0.002203,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000246.parRes
NnzSnp,1335.362305,1649.852295,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000246.parRes
SigmaSq,5e-06,1e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000246.parRes
S,0.309541,0.814621,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000246.parRes
ResVar,0.032955,0.00351,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000246.parRes
GenVar,0.000728,0.001269,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000246.parRes
hsq,0.021592,0.03712,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000246.parRes
Pi,0.002731,0.002314,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000251.parRes
NnzSnp,2045.552246,1733.345215,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000251.parRes
SigmaSq,3e-06,7e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000251.parRes
S,-0.228711,0.748483,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000251.parRes
ResVar,0.015172,0.003208,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000251.parRes
GenVar,0.002146,0.00283,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000251.parRes
hsq,0.124062,0.161951,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000251.parRes
Pi,0.002404,0.00224,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000260.parRes
NnzSnp,1799.780762,1677.609985,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000260.parRes
SigmaSq,7e-06,1.1e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000260.parRes
S,-0.204336,0.77092,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000260.parRes
ResVar,0.027205,0.005261,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000260.parRes
GenVar,0.003552,0.004552,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000260.parRes
hsq,0.115437,0.146434,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000260.parRes
Pi,0.002349,0.002154,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000272.parRes
NnzSnp,1758.901245,1613.485229,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000272.parRes
SigmaSq,6e-06,1.1e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000272.parRes
S,-0.260317,0.836903,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000272.parRes
ResVar,0.027079,0.006468,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000272.parRes
GenVar,0.004314,0.005952,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000272.parRes
hsq,0.137182,0.187529,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000272.parRes
Pi,0.002115,0.002085,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000281.parRes
NnzSnp,1583.781006,1561.714966,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000281.parRes
SigmaSq,4e-06,1e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000281.parRes
S,-0.020889,0.838633,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000281.parRes
ResVar,0.013457,0.002636,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000281.parRes
GenVar,0.001453,0.002286,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000281.parRes
hsq,0.097417,0.151979,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000281.parRes
Pi,0.002264,0.002175,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000294.parRes
NnzSnp,1694.806763,1629.403442,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000294.parRes
SigmaSq,3e-06,1e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000294.parRes
S,-0.016836,0.812415,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000294.parRes
ResVar,0.019547,0.002898,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000294.parRes
GenVar,0.001148,0.002167,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000294.parRes
hsq,0.055446,0.103677,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000294.parRes
Pi,0.003139,0.002952,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000311.parRes
NnzSnp,2350.594482,2210.891357,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000311.parRes
SigmaSq,1e-06,1e-06,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000311.parRes
S,0.222523,0.780803,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000311.parRes
ResVar,0.001051,0.000189,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000311.parRes
GenVar,0.00013,0.000159,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000311.parRes
hsq,0.110109,0.133156,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000311.parRes
Pi,0.002961,0.002782,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000322.parRes
NnzSnp,2217.287598,2083.185547,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000322.parRes
SigmaSq,6e-06,1.1e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000322.parRes
S,0.043061,0.820333,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000322.parRes
ResVar,0.023236,0.004317,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000322.parRes
GenVar,0.002657,0.003676,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000322.parRes
hsq,0.10258,0.140526,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000322.parRes
Pi,0.004622,0.003381,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000330.parRes
NnzSnp,3461.594727,2532.076416,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000330.parRes
SigmaSq,1.8e-05,3.1e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000330.parRes
S,-0.327691,0.610627,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000330.parRes
ResVar,0.007574,0.003665,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000330.parRes
GenVar,0.008727,0.003764,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000330.parRes
hsq,0.533768,0.223859,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000330.parRes
Pi,0.002315,0.00211,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000369.parRes
NnzSnp,1733.733154,1579.990601,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000369.parRes
SigmaSq,1.1e-05,2.8e-05,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000369.parRes
S,0.114867,0.818016,/common/jyanglab/gxu6/project/2-Coopration/Mike_micro/GCTB_micro/HN/Results_HN/asv_000369.parRes
