ASV,stdN,lowN,total_counts,ratioN,Kingdom,Phylum,Class,Order,Family,Genus,Species,taxa,man_taxa
asv_002466,4646,9282,13928,0.500538677,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_004465,2755,5064,7819,0.544036335,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_001984,6500,10526,17026,0.617518526,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_005093,3697,3146,6843,1.175143039,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_004264,2965,5206,8171,0.569535152,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_005009,1909,5049,6958,0.378094672,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_003523,2816,7095,9911,0.396899225,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_002770,3608,8868,12476,0.406856112,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_005496,2538,3739,6277,0.678791121,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_002061,5138,11317,16455,0.454007246,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_002860,3792,8338,12130,0.45478532,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_005805,1981,3917,5898,0.505744192,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_004408,2889,5018,7907,0.575727381,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_003319,3645,6895,10540,0.528643945,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_001786,6589,12061,18650,0.546306276,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_003507,3724,6222,9946,0.598521376,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_002506,5677,8007,13684,0.709004621,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_005348,2205,4249,6454,0.518945634,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_003057,4249,7111,11360,0.597524961,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_006548,2796,2384,5180,1.172818792,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_003474,3248,6830,10078,0.475549048,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_002479,4700,9141,13841,0.51416694,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_003418,6368,3852,10220,1.653167186,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_001294,9108,15439,24547,0.589934581,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_004991,2169,4826,6995,0.44944053,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_002748,3991,8579,12570,0.465205735,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_003954,2805,6030,8835,0.465174129,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_002243,5246,9930,15176,0.528298087,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_002787,4430,7981,12411,0.555068287,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_001468,7608,14597,22205,0.521202987,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_003960,3244,5581,8825,0.581257839,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_004130,4164,4280,8444,0.972897196,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_003471,3407,6678,10085,0.510182689,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_003317,3024,7523,10547,0.4019673,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_001801,5733,12826,18559,0.446982691,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_001907,6001,11590,17591,0.517773943,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga sancti
asv_005248,3208,3364,6572,0.953626635,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_002705,6556,6192,12748,1.05878553,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_008253,2029,1860,3889,1.090860215,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_004702,3975,3441,7416,1.155187446,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_006871,2850,2014,4864,1.41509434,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_006323,3478,1914,5392,1.817136886,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_005687,3792,2253,6045,1.683089214,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_003554,4772,5034,9806,0.947953913,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_007995,3059,990,4049,3.08989899,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_006820,2446,2471,4917,0.989882639,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_006287,4675,746,5421,6.266756032,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_003016,5187,6316,11503,0.821247625,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_004025,3996,4691,8687,0.851843957,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_002636,5977,7054,13031,0.847320669,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_004160,3938,4456,8394,0.883752244,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_004651,7085,425,7510,16.67058824,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_004385,5199,2747,7946,1.89261012,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_003067,6090,5238,11328,1.162657503,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_003917,7314,1604,8918,4.559850374,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_003415,6512,3715,10227,1.752893674,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_001972,8164,8932,17096,0.914017017,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_002798,8135,4248,12383,1.915018832,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_001759,9635,9258,18893,1.040721538,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_003932,5421,3470,8891,1.562247839,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_001183,13063,13078,26141,0.998853036,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_002941,10327,1472,11799,7.015625,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_001463,10500,11787,22287,0.890811911,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_002030,8497,8220,16717,1.033698297,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,ginsengihumi,Chitinophaga,Chitinophaga ginsengihumi
asv_005091,3462,3382,6844,1.023654642,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,rupis,Chitinophaga,Chitinophaga rupis
asv_004000,4483,4264,8747,1.051360225,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,rupis,Chitinophaga,Chitinophaga rupis
asv_003734,4038,5290,9328,0.763327032,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,filiformis,Chitinophaga,Chitinophaga filiformis
asv_004835,3758,3463,7221,1.085186255,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,filiformis,Chitinophaga,Chitinophaga filiformis
asv_005718,2581,3427,6008,0.753136854,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,filiformis,Chitinophaga,Chitinophaga filiformis
asv_002743,5785,6800,12585,0.850735294,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,filiformis,Chitinophaga,Chitinophaga filiformis
asv_004321,3378,4699,8077,0.718876357,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,filiformis,Chitinophaga,Chitinophaga filiformis
asv_004936,2977,4090,7067,0.727872861,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_004864,2712,4461,7173,0.60793544,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_002650,4373,8609,12982,0.507956789,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_004791,2261,5023,7284,0.450129405,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_003156,4182,6822,11004,0.613016711,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_006397,1832,3481,5313,0.52628555,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_004779,2546,4757,7303,0.535211268,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_003397,3689,6585,10274,0.560212604,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_002353,5596,8961,14557,0.624483875,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_008233,1619,2286,3905,0.708223972,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_005759,1974,3982,5956,0.495730789,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_003203,4180,6704,10884,0.623508353,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_004253,3834,4353,8187,0.880771881,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,pinensis,Chitinophaga,Chitinophaga pinensis
asv_004029,6945,1734,8679,4.005190311,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_001775,12513,6224,18737,2.010443445,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_001843,14352,3718,18070,3.86013986,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_001564,12582,8434,21016,1.491818829,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_002349,9348,5218,14566,1.791490993,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_002432,9172,4881,14053,1.879123131,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_001631,12493,7754,20247,1.611168429,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_001167,16682,9809,26491,1.700683046,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_004742,4590,2772,7362,1.655844156,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_003294,6403,4200,10603,1.52452381,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_003602,6169,3515,9684,1.755049787,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_003134,6399,4670,11069,1.370235546,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_004308,4987,3108,8095,1.604568855,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_002482,8287,5522,13809,1.500724375,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_004448,4530,3318,7848,1.365280289,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_003879,5464,3523,8987,1.550950894,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_002864,6317,5802,12119,1.088762496,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_003431,5506,4675,10181,1.177754011,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_005427,3530,2829,6359,1.247790739,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_002889,7169,4814,11983,1.489198172,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_002028,10316,6420,16736,1.606853583,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_001435,12657,9976,22633,1.268744988,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_001718,10787,8595,19382,1.255031995,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_002879,7908,4114,12022,1.922216821,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_003150,9286,1733,11019,5.358338142,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_002241,9396,5793,15189,1.621957535,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_002764,9344,3153,12497,2.9635268,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,polysaccharea,Chitinophaga,Chitinophaga polysaccharea
asv_000553,25443,20892,46335,1.217834578,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,eiseniae,Chitinophaga,Chitinophaga eiseniae
asv_000752,25981,12304,38285,2.111589727,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,eiseniae,Chitinophaga,Chitinophaga eiseniae
asv_000312,50892,20114,71006,2.530177985,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga eiseniae
asv_000250,49404,34708,84112,1.423418232,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga eiseniae
asv_000696,22072,18018,40090,1.224997225,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,eiseniae,Chitinophaga,Chitinophaga eiseniae
asv_000458,27335,26365,53700,1.0367912,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,eiseniae,Chitinophaga,Chitinophaga eiseniae
asv_000216,52026,43780,95806,1.188350845,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga eiseniae
asv_000313,40854,30086,70940,1.357907332,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga eiseniae
asv_000445,27858,27337,55195,1.019058419,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,eiseniae,Chitinophaga,Chitinophaga eiseniae
asv_000204,53006,45668,98674,1.16068144,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga eiseniae
asv_000660,22192,19614,41806,1.131436729,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,eiseniae,Chitinophaga,Chitinophaga eiseniae
asv_000299,40563,32346,72909,1.254034502,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga eiseniae
asv_000344,33596,32543,66139,1.032357189,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,eiseniae,Chitinophaga,Chitinophaga eiseniae
asv_000162,64116,54782,118898,1.170384433,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga eiseniae
asv_000686,20804,19634,40438,1.059590506,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,eiseniae,Chitinophaga,Chitinophaga eiseniae
asv_000560,23326,22822,46148,1.022083954,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,eiseniae,Chitinophaga,Chitinophaga eiseniae
asv_000402,28013,31680,59693,0.884248737,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,eiseniae,Chitinophaga,Chitinophaga eiseniae
asv_000182,53862,52998,106860,1.016302502,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga eiseniae
asv_000259,43194,37589,80783,1.149112772,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Chitinophaga,Chitinophaga eiseniae
