trait,Mean,SD,par,tax_group,ability,ref
asv_000570,-0.215405,0.53451,S,RB41 sp 2,,
asv_002353,-0.210421,1.151858,S,Chitinophaga pinensis,,
asv_000260,-0.204336,0.77092,S,f_Comamonadaceae Unknown Genus,,
asv_000791,-0.180149,0.839881,S,Rhizobium mesosinicum,,
asv_001772,-0.175324,0.908763,S,Gemmatimonas,pgp?,Gemmatimonas aurantiaca gen. nov., sp. nov., a Gram-negative, aerobic, polyphosphate-accumulating micro-organism, the first cultured representative of the new …
asv_000862,-0.161111,0.749877,S,f_A21b,,
asv_001660,-0.154952,0.828093,S,Pajaroellobacter,,
asv_001448,-0.150539,1.120135,S,Pseudomonas mediterranea,pgp,Characterization of a Versatile Plant Growth-Promoting Rhizobacterium Pseudomonas mediterranea Strain S58
asv_000013,-0.146962,0.670434,S,Sphingobium herbicidovorans 1,pgp?,
asv_000719,-0.135578,0.904727,S,Terriglobus,,
asv_000641,-0.128264,0.864961,S,Sphingomonas mali,,
asv_001323,-0.123152,0.827989,S,Niabella yanshanensis,,
asv_001507,-0.10936,1.237031,S,Stenotrophomonas maltophilia,pgp?,Growth promoting effects of corn (Zea mays) bacterial isolates under greenhouse and field conditions
asv_001207,-0.098568,0.851914,S,f_Blastocatellaceae Unknown Genus,,
asv_000041,-0.098359,0.838905,S,Sphingobium herbicidovorans 2,,
asv_000183,-0.091891,0.705239,S,Bacillus fumarioli,,
asv_000896,-0.08631,0.791006,S,Knoellia-Lapillicoccus,,
asv_000237,-0.069901,0.802249,S,Pseudoduganella,,
asv_000575,-0.068021,0.853328,S,RB41 sp 1,,
asv_000191,-0.067574,0.729036,S,Candidatus Udaeobacter copiosus,pgp?,A small soil bacterium dominates
asv_001499,-0.062103,0.900405,S,Burkholderia insecticola,,
asv_001232,-0.054402,0.884457,S,Luteolibacter pohnpeiensis,,
asv_001749,-0.05135,0.908557,S,Arenimonas,,
asv_001444,-0.050585,0.798992,S,Gaiella,,
asv_000031,-0.047321,0.976497,S,Burkholderia pseudomallei,,
asv_002205,-0.03841,0.804834,S,Acidibacter,,
asv_000906,-0.036064,0.86192,S,Chthoniobacter flavus,,
asv_000281,-0.020889,0.838633,S,Sphingoaurantiacus,,
asv_000294,-0.016836,0.812415,S,f_LWQ8,,
asv_001840,-0.014989,0.813032,S,Pseudomonas citronellolis,,
asv_000370,-0.011861,0.882874,S,Massilia varians,,
asv_000196,-0.011812,0.741882,S,Bradyrhizobium elkanii,,
asv_000189,-0.010827,0.826661,S,TM7a sp 2,,
asv_001001,-0.008714,0.875142,S,Parafilimonas,,
asv_000544,0.000878,0.632685,S,Rhizobium daejeonense,,
asv_000473,0.005001,0.917943,S,Streptomyces puniciscabiei-clavuligerus,pathogen?,Characterization of Potato Scab Pathogens (Streptomyces Species)
asv_000431,0.005193,0.84905,S,f_Vicinamibacteraceae,,
asv_001446,0.005196,0.77015,S,Archangium gephyra,,
asv_000112,0.012317,0.838212,S,Burkholderia sp 2,,
asv_001140,0.025766,0.896341,S,Flavisolibacter-Puia,,
asv_001312,0.041028,0.854401,S,Aridibacter,,
asv_000596,0.04203,0.779457,S,Rhodoplanes,,
asv_000322,0.043061,0.820333,S,Kribbella karoonensis,,
asv_001026,0.06445,0.888545,S,Chryseobacterium jejuense,,
asv_001057,0.065221,0.780506,S,Pseudomonas sp 1,,
asv_000009,0.071325,0.850684,S,Enterobacter,pgp?,Phytoremediation of arsenate contaminated soil by transgenic canola and the plant growth-promoting bacterium Enterobacter cloacae CAL2
asv_000483,0.071785,0.854939,S,Chryseobacterium sp 2,,
asv_001667,0.077171,0.816261,S,Blastococcus,,
asv_000160,0.084943,0.898997,S,Chitinophaga arvensicola,,
asv_002172,0.088114,0.8967,S,Streptomyces sp 1,,
asv_001319,0.092634,0.805258,S,Chryseobacterium taiwanense,,
asv_004714,0.096622,0.784853,S,Acinetobacter bouvetii,,
asv_001011,0.100408,0.838192,S,Acidothermus,,
asv_000369,0.114867,0.818016,S,Sphingobacterium siyangense-multivorum,,
asv_001303,0.115913,0.871569,S,Oryzihumus terrae,,
asv_000672,0.137508,1.041143,S,f_Chitinophagaceae Unknown Genus,,
asv_000511,0.144465,0.916382,S,Marmoricola,,
asv_000059,0.156341,0.799089,S,Burkholderia vietnamiensis,pgp,Improved Yield of Micropropagated Sugarcane Following Inoculation by Endophytic Burkholderia vietnamiensis
asv_002742,0.15898,0.786371,S,Taibaiella chishuiensis,,
asv_000470,0.159636,0.86604,S,Dyadobacter fermentans 3,,
asv_000629,0.163608,0.877011,S,Dyadobacter fermentans 1,,
asv_000551,0.17102,0.959517,S,Bacillus aryabhattai,pgp,Bacillus aryabhattai SRB02 tolerates oxidative and nitrosative stress and promotes the growth of soybean by modulating the production of phytohormones
asv_001572,0.188277,0.926306,S,Filimonas sp 1,pgp?,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001116
asv_000986,0.197033,0.878263,S,Rhizobium phaseoli-multihospitium-favelukesii,pgp,Substrate-dependent auxin production by Rhizobium phaseoli improves the growth and yield of Vigna radiata L. under salt stress conditions
asv_001292,0.201053,0.831444,S,Piscinibacter,,
asv_000162,0.210832,0.882142,S,Chitinophaga eiseniae,,
asv_000674,0.212541,0.797358,S,Solirubrobacter,,
asv_001347,0.215618,0.799143,S,Cellulomonas aerilata,,
asv_000311,0.222523,0.780803,S,Microbacterium testaceum,pgp?,Mode of action of antimicrobial substances from Burkholderia multivorans and Microbacterium testaceum against Schizophyllum commune Fr.
asv_000498,0.230742,0.942179,S,Stenotrophomonas tumulicola,,
asv_000487,0.235313,0.85179,S,Achromobacter insolitus,,
asv_001582,0.248352,0.959187,S,Ilumatobacter,,
asv_001875,0.252014,0.765845,S,TM7a sp 1,,
asv_000246,0.309541,0.814621,S,Labrys miyagiensis,,
asv_001294,0.754537,0.797843,S,Chitinophaga sancti,,
asv_002138,1.017751,0.847999,S,Duganella radicis,,
